,
Tan,10, Daily Companion End of Day, 2016-02-11_16-33-43 ,,,
,,,,,,
State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 
,,,,,,
1455226431, 2016-02-11_16-33-50,1, dayEndIntro,0,0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455226455, 2016-02-11_16-34-15,2, dayEndGood,1,1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455226458, 2016-02-11_16-34-18,4, askWeekend,1,1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455226494, 2016-02-11_16-34-53,6, askWeekendNo,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455226497, 2016-02-11_16-34-56,7, meal1IfSuggested,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455226497, 2016-02-11_16-34-56,15, checkEdgeSafety1,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455226507, 2016-02-11_16-35-07,16, meal2CheckinLunch,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455226527, 2016-02-11_16-35-27,20, meal2CheckinNoAte,1,1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455226550, 2016-02-11_16-35-49,20, meal2CheckinNoAte,3,8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455226576, 2016-02-11_16-36-15,21, meal2CheckinNoAteYesComp,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455226597, 2016-02-11_16-36-37,22, meal2CheckinNoAteYesCompYesResp,1,1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455226603, 2016-02-11_16-36-43,25, meal3CheckinDinner,1,1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455226626, 2016-02-11_16-37-05,26, meal3CheckinYesHad,3,8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455226653, 2016-02-11_16-37-33,30, meal3CheckinNoAte,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455226683, 2016-02-11_16-38-03,33, meal3CheckinNoAteNoComp,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 3.0 0.0]
1455226694, 2016-02-11_16-38-13,35, checkEdgeSafety2,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 3.0 0.0]
1455226704, 2016-02-11_16-38-23,36, exerciseCheckin,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 3.0 0.0]
1455226730, 2016-02-11_16-38-49,41, exerciseCheckinNoDid,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 3.0 0.0]
1455226756, 2016-02-11_16-39-15,42, exerciseCheckinNoDidYesComp,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 3.0 2.0]
1455226767, 2016-02-11_16-39-26,43, exerciseCheckinNoDidYesCompGotResp,1,6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 3.0 2.0]
1455226774, 2016-02-11_16-39-33,48, dayEndEnd,1,6, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2.0 3.0 2.0]
