
Yugang, 11, Daily Companion Morning, 2016-02-18_11-08-27 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455811711.26, 2016-02-18_11-08-31, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811744.81, 2016-02-18_11-09-04, 2, morningGood, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811749.0, 2016-02-18_11-09-09, 4, askWeather, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811770.99, 2016-02-18_11-09-30, 5, askWeatherGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811774.99, 2016-02-18_11-09-34, 6, askWeatherGoodJapan, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811807.88, 2016-02-18_11-10-07, 8, askWeatherGoodNoTravel, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811817.28, 2016-02-18_11-10-17, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811837.33, 2016-02-18_11-10-37, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811847.37, 2016-02-18_11-10-47, 17, askBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811872.54, 2016-02-18_11-11-12, 18, askBreakfastAte, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811878.62, 2016-02-18_11-11-18, 23, askDietPoultry, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811904.5, 2016-02-18_11-11-44, 24, askDietPoultryYesEat, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811907.69, 2016-02-18_11-11-47, 19, askDietGluten, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811932.93, 2016-02-18_11-12-12, 20, askDietGlutenYesEat, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811935.8, 2016-02-18_11-12-15, 26, meal2DecideLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811951.75, 2016-02-18_11-12-31, 27, mealFeedbackLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811974.46, 2016-02-18_11-12-54, 28, meal2FeedbackYesDelici, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455811978.58, 2016-02-18_11-12-58, 31, askDietFish, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812000.61, 2016-02-18_11-13-20, 32, askDietFishYesEat, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812009.09, 2016-02-18_11-13-29, 34, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812028.48, 2016-02-18_11-13-48, 35, tellJoke_Statement2, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812039.41, 2016-02-18_11-13-59, 36, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812054.32, 2016-02-18_11-14-14, 37, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812080.28, 2016-02-18_11-14-40, 38, meal3FeedbackYesGood, 1, 1, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455812084.07, 2016-02-18_11-14-44, 41, exerciseDecide, 1, 1, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455812086.47, 2016-02-18_11-14-46, 42, exerciseWeatherGood, 1, 1, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455812095.36, 2016-02-18_11-14-55, 44, exerciseFeedback, 1, 1, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455812119.19, 2016-02-18_11-15-19, 46, exerciseFeedbackBad, 1, 1, [1.0 1.0 1.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0]
1455812128.4, 2016-02-18_11-15-28, 48, morningEnd, 1, 1, [2.0 3.0 3.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0]
