
Yugang, 11, Daily Companion End of Day, 2016-02-18_16-02-45 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455829370.67, 2016-02-18_16-02-50, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455829406.89, 2016-02-18_16-03-26, 2, dayEndGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455829409.92, 2016-02-18_16-03-29, 4, askWeekend, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455829438.85, 2016-02-18_16-03-58, 6, askWeekendNo, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455829441.99, 2016-02-18_16-04-01, 7, meal1IfSuggested, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455829441.99, 2016-02-18_16-04-01, 15, checkEdgeSafety1, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455829463.53, 2016-02-18_16-04-23, 16, tellJoke_Statement1, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455829475.26, 2016-02-18_16-04-35, 17, meal2CheckinLunch, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455829500.13, 2016-02-18_16-05-00, 21, meal2CheckinNoAte, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455829525.09, 2016-02-18_16-05-25, 22, meal2CheckinNoAteYesComp, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455829549.97, 2016-02-18_16-05-49, 23, meal2CheckinNoAteYesCompYesResp, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455829556.24, 2016-02-18_16-05-56, 26, meal3CheckinDinner, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455829578.33, 2016-02-18_16-06-18, 35, meal3CheckinNoHad, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455829586.69, 2016-02-18_16-06-26, 36, checkEdgeSafety2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455829607.81, 2016-02-18_16-06-47, 37, tellJoke_Statement2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455829619.52, 2016-02-18_16-06-59, 38, exerciseCheckin, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455829644.38, 2016-02-18_16-07-24, 43, exerciseCheckinNoDid, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455829672.03, 2016-02-18_16-07-52, 46, exerciseCheckinNoDidNoComp, 3, 3, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 3.0]
1455829698.03, 2016-02-18_16-08-18, 47, exerciseCheckinNoDidNoCompCouldnt, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 3.0]
1455829710.09, 2016-02-18_16-08-30, 50, dayEndEnd, 1, 1, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 3.0]
