
Vernica, 12, Daily Companion Morning, 2016-02-18_11-22-59 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455812583.73, 2016-02-18_11-23-03, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812619.95, 2016-02-18_11-23-39, 2, morningGood, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812624.11, 2016-02-18_11-23-44, 4, askWeather, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812647.34, 2016-02-18_11-24-07, 5, askWeatherGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812651.37, 2016-02-18_11-24-11, 6, askWeatherGoodJapan, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812685.87, 2016-02-18_11-24-45, 8, askWeatherGoodNoTravel, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812695.26, 2016-02-18_11-24-55, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812715.99, 2016-02-18_11-25-15, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812726.24, 2016-02-18_11-25-26, 17, askBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812750.4, 2016-02-18_11-25-50, 18, askBreakfastAte, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812756.45, 2016-02-18_11-25-56, 23, askDietPoultry, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812781.16, 2016-02-18_11-26-21, 24, askDietPoultryYesEat, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812784.32, 2016-02-18_11-26-24, 19, askDietGluten, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812811.4, 2016-02-18_11-26-51, 20, askDietGlutenYesEat, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812814.24, 2016-02-18_11-26-54, 26, meal2DecideLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812830.06, 2016-02-18_11-27-10, 27, mealFeedbackLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812854.08, 2016-02-18_11-27-34, 28, meal2FeedbackYesDelici, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812858.18, 2016-02-18_11-27-38, 31, askDietFish, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812879.7, 2016-02-18_11-27-59, 32, askDietFishYesEat, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812888.26, 2016-02-18_11-28-08, 34, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812908.01, 2016-02-18_11-28-28, 35, tellJoke_Statement2, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812918.91, 2016-02-18_11-28-38, 36, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812933.61, 2016-02-18_11-28-53, 37, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455812961.54, 2016-02-18_11-29-21, 38, meal3FeedbackYesGood, 0, 5, [1.0 1.0 1.0 0.0 3.0 2.0 0.0 0.0 0.0 0.0 0.0]
1455812965.18, 2016-02-18_11-29-25, 41, exerciseDecide, 0, 5, [1.0 1.0 1.0 0.0 3.0 2.0 0.0 0.0 0.0 0.0 0.0]
1455812967.38, 2016-02-18_11-29-27, 42, exerciseWeatherGood, 0, 5, [1.0 1.0 1.0 0.0 3.0 2.0 0.0 0.0 0.0 0.0 0.0]
1455812976.13, 2016-02-18_11-29-36, 44, exerciseFeedback, 0, 5, [1.0 1.0 1.0 0.0 3.0 2.0 0.0 0.0 0.0 0.0 0.0]
1455812996.82, 2016-02-18_11-29-56, 45, exerciseFeedbackGood, 1, 6, [1.0 1.0 1.0 0.0 3.0 2.0 3.0 0.0 0.0 0.0 0.0]
1455813002.4, 2016-02-18_11-30-02, 48, morningEnd, 1, 6, [2.0 3.0 2.0 0.0 3.0 2.0 3.0 0.0 0.0 0.0 0.0]
