
Jacob, 13, Daily Companion Morning, 2016-02-18_11-42-01 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455813724.82, 2016-02-18_11-42-04, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813760.55, 2016-02-18_11-42-40, 2, morningGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813764.73, 2016-02-18_11-42-44, 4, askWeather, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813787.45, 2016-02-18_11-43-07, 5, askWeatherGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813791.37, 2016-02-18_11-43-11, 6, askWeatherGoodJapan, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813820.05, 2016-02-18_11-43-40, 8, askWeatherGoodNoTravel, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813829.28, 2016-02-18_11-43-49, 15, checkEdgeSafety1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813849.36, 2016-02-18_11-44-09, 16, tellJoke_Statement1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813859.36, 2016-02-18_11-44-19, 17, askBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813883.22, 2016-02-18_11-44-43, 19, askDietGluten, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813906.64, 2016-02-18_11-45-06, 20, askDietGlutenYesEat, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813909.42, 2016-02-18_11-45-09, 22, meal1DecideBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813918.82, 2016-02-18_11-45-18, 23, askDietPoultry, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813941.77, 2016-02-18_11-45-41, 24, askDietPoultryYesEat, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813944.9, 2016-02-18_11-45-44, 26, meal2DecideLunch, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813960.49, 2016-02-18_11-46-00, 27, mealFeedbackLunch, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813984.27, 2016-02-18_11-46-24, 29, meal2FeedbackNoDelici, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455813987.48, 2016-02-18_11-46-27, 26, meal2DecideLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455814001.71, 2016-02-18_11-46-41, 27, mealFeedbackLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455814023.36, 2016-02-18_11-47-03, 28, meal2FeedbackYesDelici, 1, 6, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455814027.4, 2016-02-18_11-47-07, 31, askDietFish, 1, 6, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455814049.21, 2016-02-18_11-47-29, 32, askDietFishYesEat, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455814057.55, 2016-02-18_11-47-37, 34, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455814076.93, 2016-02-18_11-47-56, 35, tellJoke_Statement2, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455814087.62, 2016-02-18_11-48-07, 36, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455814102.26, 2016-02-18_11-48-22, 37, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455814122.6, 2016-02-18_11-48-42, 38, meal3FeedbackYesGood, 1, 6, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455814126.26, 2016-02-18_11-48-46, 41, exerciseDecide, 1, 6, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455814128.49, 2016-02-18_11-48-48, 42, exerciseWeatherGood, 1, 6, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455814137.36, 2016-02-18_11-48-57, 44, exerciseFeedback, 1, 6, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455814157.96, 2016-02-18_11-49-17, 46, exerciseFeedbackBad, 1, 6, [1.0 1.0 1.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0]
1455814166.9, 2016-02-18_11-49-26, 48, morningEnd, 1, 6, [2.0 3.0 3.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0]
