
Jacob, 13, Daily Companion End of Day, 2016-02-18_16-32-26 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455831150.25, 2016-02-18_16-32-30, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455831180.47, 2016-02-18_16-33-00, 2, dayEndGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455831183.48, 2016-02-18_16-33-03, 4, askWeekend, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455831208.31, 2016-02-18_16-33-28, 6, askWeekendNo, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455831211.45, 2016-02-18_16-33-31, 7, meal1IfSuggested, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455831211.45, 2016-02-18_16-33-31, 8, meal1CheckinBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455831237.09, 2016-02-18_16-33-57, 12, meal1CheckinNoAte, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455831262.25, 2016-02-18_16-34-22, 14, meal1CheckinNoAteNoHad, 2, 2, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1455831286.79, 2016-02-18_16-34-46, 15, checkEdgeSafety1, 2, 2, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1455831311.07, 2016-02-18_16-35-11, 16, tellJoke_Statement1, 2, 2, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1455831326.92, 2016-02-18_16-35-26, 17, meal2CheckinLunch, 2, 2, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1455831356.89, 2016-02-18_16-35-56, 21, meal2CheckinNoAte, 3, 3, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1455831382.8, 2016-02-18_16-36-22, 22, meal2CheckinNoAteYesComp, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1455831409.94, 2016-02-18_16-36-49, 23, meal2CheckinNoAteYesCompYesResp, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1455831416.19, 2016-02-18_16-36-56, 26, meal3CheckinDinner, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1455831435.94, 2016-02-18_16-37-15, 35, meal3CheckinNoHad, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1455831444.29, 2016-02-18_16-37-24, 36, checkEdgeSafety2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1455831465.27, 2016-02-18_16-37-45, 37, tellJoke_Statement2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1455831476.83, 2016-02-18_16-37-56, 38, exerciseCheckin, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1455831504.34, 2016-02-18_16-38-24, 43, exerciseCheckinNoDid, 3, 3, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1455831527.17, 2016-02-18_16-38-47, 46, exerciseCheckinNoDidNoComp, 4, 9, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 3.0]
1455831549.48, 2016-02-18_16-39-09, 48, exerciseCheckinNoDidNoCompDidntWant, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 3.0]
1455831565.74, 2016-02-18_16-39-25, 50, dayEndEnd, 3, 8, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 3.0]
