
Geoff, 14, Daily Companion Morning, 2016-02-24_11-11-36 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456330300.09, 2016-02-24_11-11-40, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330331.65, 2016-02-24_11-12-11, 2, morningGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330335.79, 2016-02-24_11-12-15, 4, askWeather, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330351.41, 2016-02-24_11-12-31, 9, askWeatherBad, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330356.29, 2016-02-24_11-12-36, 10, askWeatherBadParis, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330385.73, 2016-02-24_11-13-05, 12, askWeatherBadDiffHome, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330405.76, 2016-02-24_11-13-25, 13, askWeatherBadDiffHomeYesTake, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330408.38, 2016-02-24_11-13-28, 15, checkEdgeSafety1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330424.8, 2016-02-24_11-13-44, 16, tellJoke_Statement1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330434.73, 2016-02-24_11-13-54, 17, askBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330455.88, 2016-02-24_11-14-15, 18, askBreakfastAte, 0, 5, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330461.87, 2016-02-24_11-14-21, 23, askDietPoultry, 0, 5, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330479.5, 2016-02-24_11-14-39, 25, askDietPoultryNoEat, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330482.86, 2016-02-24_11-14-42, 19, askDietGluten, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330501.68, 2016-02-24_11-15-01, 20, askDietGlutenYesEat, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330504.44, 2016-02-24_11-15-04, 26, meal2DecideLunch, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330520.18, 2016-02-24_11-15-20, 27, mealFeedbackLunch, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330538.7, 2016-02-24_11-15-38, 28, meal2FeedbackYesDelici, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330542.76, 2016-02-24_11-15-42, 31, askDietFish, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330558.38, 2016-02-24_11-15-58, 32, askDietFishYesEat, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330566.72, 2016-02-24_11-16-06, 34, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330582.41, 2016-02-24_11-16-22, 35, tellJoke_Statement2, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330593.24, 2016-02-24_11-16-33, 36, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330607.74, 2016-02-24_11-16-47, 37, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330623.37, 2016-02-24_11-17-03, 39, meal3FeedbackNoGood, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330626.86, 2016-02-24_11-17-06, 36, meal3DecideDinner, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330640.78, 2016-02-24_11-17-20, 37, meal3FeedbackDinner, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330661.83, 2016-02-24_11-17-41, 39, meal3FeedbackNoGood, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456330665.33, 2016-02-24_11-17-45, 40, meal3FeedbackNoOptions, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456330673.24, 2016-02-24_11-17-53, 41, exerciseDecide, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
