
Geoff, 14, Daily Companion End of Day, 2016-02-24_16-36-28 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456349792.83, 2016-02-24_16-36-32, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456349816.88, 2016-02-24_16-36-56, 2, dayEndGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456349819.9, 2016-02-24_16-36-59, 4, askWeekend, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456349838.7, 2016-02-24_16-37-18, 6, askWeekendNo, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456349841.84, 2016-02-24_16-37-21, 7, meal1IfSuggested, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456349841.84, 2016-02-24_16-37-21, 15, checkEdgeSafety1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456349859.55, 2016-02-24_16-37-39, 16, tellJoke_Statement1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456349871.15, 2016-02-24_16-37-51, 17, meal2CheckinLunch, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456349891.31, 2016-02-24_16-38-11, 21, meal2CheckinNoAte, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456349909.4, 2016-02-24_16-38-29, 25, meal2CheckinNoAteNoComp, 2, 2, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0]
1456349921.56, 2016-02-24_16-38-41, 26, meal3CheckinDinner, 2, 2, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0]
1456349938.1, 2016-02-24_16-38-58, 35, meal3CheckinNoHad, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0]
1456349947.09, 2016-02-24_16-39-07, 36, checkEdgeSafety2, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0]
1456349967.67, 2016-02-24_16-39-27, 37, tellJoke_Statement2, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0]
1456349985.93, 2016-02-24_16-39-45, 38, exerciseCheckin, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0]
1456350007.15, 2016-02-24_16-40-07, 43, exerciseCheckinNoDid, 3, 3, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0]
1456350023.64, 2016-02-24_16-40-23, 46, exerciseCheckinNoDidNoComp, 2, 7, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 3.0]
1456350041.42, 2016-02-24_16-40-41, 47, exerciseCheckinNoDidNoCompCouldnt, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 3.0]
1456350053.45, 2016-02-24_16-40-53, 50, dayEndEnd, 1, 1, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 3.0]
