
Chris, 15, Daily Companion Morning, 2016-02-24_11-24-21 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456331065.26, 2016-02-24_11-24-25, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331093.82, 2016-02-24_11-24-53, 2, morningGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331097.98, 2016-02-24_11-24-57, 4, askWeather, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331114.49, 2016-02-24_11-25-14, 9, askWeatherBad, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331119.36, 2016-02-24_11-25-19, 10, askWeatherBadParis, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331149.47, 2016-02-24_11-25-49, 12, askWeatherBadDiffHome, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331169.31, 2016-02-24_11-26-09, 13, askWeatherBadDiffHomeYesTake, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331171.92, 2016-02-24_11-26-11, 15, checkEdgeSafety1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331188.41, 2016-02-24_11-26-28, 16, tellJoke_Statement1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331198.58, 2016-02-24_11-26-38, 17, askBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331219.51, 2016-02-24_11-26-59, 18, askBreakfastAte, 0, 5, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331225.46, 2016-02-24_11-27-05, 23, askDietPoultry, 0, 5, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331244.36, 2016-02-24_11-27-24, 25, askDietPoultryNoEat, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331247.76, 2016-02-24_11-27-27, 19, askDietGluten, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331262.97, 2016-02-24_11-27-42, 20, askDietGlutenYesEat, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331265.71, 2016-02-24_11-27-45, 26, meal2DecideLunch, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331281.54, 2016-02-24_11-28-01, 27, mealFeedbackLunch, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331297.4, 2016-02-24_11-28-17, 28, meal2FeedbackYesDelici, 0, 0, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331301.4, 2016-02-24_11-28-21, 31, askDietFish, 0, 0, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331316.51, 2016-02-24_11-28-36, 32, askDietFishYesEat, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331324.81, 2016-02-24_11-28-44, 34, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331340.62, 2016-02-24_11-29-00, 35, tellJoke_Statement2, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331351.29, 2016-02-24_11-29-11, 36, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331365.84, 2016-02-24_11-29-25, 37, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456331383.95, 2016-02-24_11-29-43, 38, meal3FeedbackYesGood, 0, 5, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456331387.61, 2016-02-24_11-29-47, 41, exerciseDecide, 0, 5, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456331389.79, 2016-02-24_11-29-49, 43, exerciseWeatherBad, 0, 5, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456331399.77, 2016-02-24_11-29-59, 44, exerciseFeedback, 0, 5, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456331415.45, 2016-02-24_11-30-15, 45, exerciseFeedbackGood, 0, 0, [1.0 1.0 1.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
1456331420.98, 2016-02-24_11-30-20, 48, morningEnd, 0, 0, [2.0 3.0 2.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
