
Chris, 15, Daily Companion End of Day, 2016-02-24_17-05-34 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456351537.92, 2016-02-24_17-05-37, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351564.52, 2016-02-24_17-06-04, 2, dayEndGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351567.51, 2016-02-24_17-06-07, 4, askWeekend, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351586.72, 2016-02-24_17-06-26, 6, askWeekendNo, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351589.9, 2016-02-24_17-06-29, 7, meal1IfSuggested, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351589.9, 2016-02-24_17-06-29, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351607.85, 2016-02-24_17-06-47, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351619.6, 2016-02-24_17-06-59, 17, meal2CheckinLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351637.95, 2016-02-24_17-07-17, 21, meal2CheckinNoAte, 2, 7, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351658.32, 2016-02-24_17-07-38, 22, meal2CheckinNoAteYesComp, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351681.9, 2016-02-24_17-08-01, 23, meal2CheckinNoAteYesCompYesResp, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351688.13, 2016-02-24_17-08-08, 26, meal3CheckinDinner, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351703.68, 2016-02-24_17-08-23, 35, meal3CheckinNoHad, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351712.0, 2016-02-24_17-08-32, 36, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351729.22, 2016-02-24_17-08-49, 37, tellJoke_Statement2, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351740.88, 2016-02-24_17-09-00, 38, exerciseCheckin, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351757.45, 2016-02-24_17-09-17, 39, exerciseCheckinYesDid, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456351778.99, 2016-02-24_17-09-38, 42, exerciseCheckinYesDidEasyDiff, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456351786.81, 2016-02-24_17-09-46, 50, dayEndEnd, 1, 6, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
