
Yugong, 17, Daily Companion Morning, 2016-02-24_12-31-36 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456335103.33, 2016-02-24_12-31-43, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335133.53, 2016-02-24_12-32-13, 2, morningGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335137.64, 2016-02-24_12-32-17, 4, askWeather, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335153.07, 2016-02-24_12-32-33, 9, askWeatherBad, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335157.96, 2016-02-24_12-32-37, 10, askWeatherBadParis, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335187.45, 2016-02-24_12-33-07, 12, askWeatherBadDiffHome, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335209.8, 2016-02-24_12-33-29, 13, askWeatherBadDiffHomeYesTake, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335212.44, 2016-02-24_12-33-32, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335229.14, 2016-02-24_12-33-49, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335239.31, 2016-02-24_12-33-59, 17, askBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335257.04, 2016-02-24_12-34-17, 18, askBreakfastAte, 0, 0, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335262.99, 2016-02-24_12-34-22, 23, askDietPoultry, 0, 0, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335280.25, 2016-02-24_12-34-40, 24, askDietPoultryYesEat, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335283.42, 2016-02-24_12-34-43, 19, askDietGluten, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335299.6, 2016-02-24_12-34-59, 20, askDietGlutenYesEat, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335302.38, 2016-02-24_12-35-02, 26, meal2DecideLunch, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335317.96, 2016-02-24_12-35-17, 27, mealFeedbackLunch, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335333.12, 2016-02-24_12-35-33, 28, meal2FeedbackYesDelici, 0, 0, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335337.14, 2016-02-24_12-35-37, 31, askDietFish, 0, 0, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335352.19, 2016-02-24_12-35-52, 32, askDietFishYesEat, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335360.52, 2016-02-24_12-36-00, 34, checkEdgeSafety2, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335376.5, 2016-02-24_12-36-16, 35, tellJoke_Statement2, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335387.19, 2016-02-24_12-36-27, 36, meal3DecideDinner, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335401.84, 2016-02-24_12-36-41, 37, meal3FeedbackDinner, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456335417.39, 2016-02-24_12-36-57, 38, meal3FeedbackYesGood, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456335421.07, 2016-02-24_12-37-01, 41, exerciseDecide, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456335423.25, 2016-02-24_12-37-03, 43, exerciseWeatherBad, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456335433.3, 2016-02-24_12-37-13, 44, exerciseFeedback, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456335454.04, 2016-02-24_12-37-34, 45, exerciseFeedbackGood, 0, 5, [1.0 1.0 1.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
1456335459.61, 2016-02-24_12-37-39, 48, morningEnd, 0, 5, [2.0 3.0 2.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
