
Yugong, 17, Daily Companion End of Day, 2016-02-24_16-07-25 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456348048.74, 2016-02-24_16-07-28, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456348076.41, 2016-02-24_16-07-56, 2, dayEndGood, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456348079.42, 2016-02-24_16-07-59, 4, askWeekend, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456348099.11, 2016-02-24_16-08-19, 6, askWeekendNo, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456348102.24, 2016-02-24_16-08-22, 7, meal1IfSuggested, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456348102.24, 2016-02-24_16-08-22, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456348120.62, 2016-02-24_16-08-40, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456348132.22, 2016-02-24_16-08-52, 17, meal2CheckinLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456348153.3, 2016-02-24_16-09-13, 18, meal2CheckinYesAte, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456348174.28, 2016-02-24_16-09-34, 19, meal2CheckinYesAteGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456348177.03, 2016-02-24_16-09-37, 26, meal3CheckinDinner, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456348194.24, 2016-02-24_16-09-54, 35, meal3CheckinNoHad, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456348202.6, 2016-02-24_16-10-02, 36, checkEdgeSafety2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456348220.13, 2016-02-24_16-10-20, 37, tellJoke_Statement2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456348231.78, 2016-02-24_16-10-31, 38, exerciseCheckin, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456348249.48, 2016-02-24_16-10-49, 43, exerciseCheckinNoDid, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456348269.41, 2016-02-24_16-11-09, 44, exerciseCheckinNoDidYesComp, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456348281.46, 2016-02-24_16-11-21, 45, exerciseCheckinNoDidYesCompGotResp, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456348288.35, 2016-02-24_16-11-28, 50, dayEndEnd, 0, 5, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
