
Evgeny, 18, Daily Companion Morning, 2016-02-24_12-57-24 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456336648.94, 2016-02-24_12-57-28, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336681.27, 2016-02-24_12-58-01, 2, morningGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336685.41, 2016-02-24_12-58-05, 4, askWeather, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336702.26, 2016-02-24_12-58-22, 9, askWeatherBad, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336707.15, 2016-02-24_12-58-27, 10, askWeatherBadParis, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336733.79, 2016-02-24_12-58-53, 12, askWeatherBadDiffHome, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336755.63, 2016-02-24_12-59-15, 13, askWeatherBadDiffHomeYesTake, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336758.22, 2016-02-24_12-59-18, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336774.82, 2016-02-24_12-59-34, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336784.81, 2016-02-24_12-59-44, 17, askBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336805.91, 2016-02-24_13-00-05, 18, askBreakfastAte, 0, 5, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336811.87, 2016-02-24_13-00-11, 23, askDietPoultry, 0, 5, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336829.65, 2016-02-24_13-00-29, 24, askDietPoultryYesEat, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336832.76, 2016-02-24_13-00-32, 19, askDietGluten, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336849.88, 2016-02-24_13-00-49, 20, askDietGlutenYesEat, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336852.63, 2016-02-24_13-00-52, 26, meal2DecideLunch, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336868.36, 2016-02-24_13-01-08, 27, mealFeedbackLunch, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336887.51, 2016-02-24_13-01-27, 28, meal2FeedbackYesDelici, 0, 5, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336891.49, 2016-02-24_13-01-31, 31, askDietFish, 0, 5, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336906.38, 2016-02-24_13-01-46, 32, askDietFishYesEat, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336914.66, 2016-02-24_13-01-54, 34, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336931.01, 2016-02-24_13-02-11, 35, tellJoke_Statement2, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336941.72, 2016-02-24_13-02-21, 36, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336956.24, 2016-02-24_13-02-36, 37, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456336974.08, 2016-02-24_13-02-54, 38, meal3FeedbackYesGood, 0, 0, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456336977.74, 2016-02-24_13-02-57, 41, exerciseDecide, 0, 0, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456336980.0, 2016-02-24_13-02-59, 43, exerciseWeatherBad, 0, 0, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456336990.1, 2016-02-24_13-03-10, 44, exerciseFeedback, 0, 0, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456337004.48, 2016-02-24_13-03-24, 45, exerciseFeedbackGood, 1, 6, [1.0 1.0 1.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
1456337010.04, 2016-02-24_13-03-30, 48, morningEnd, 1, 6, [2.0 3.0 2.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
