
Evgeny, 18, Daily Companion End of Day, 2016-02-24_16-57-28 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456351052.04, 2016-02-24_16-57-32, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351075.49, 2016-02-24_16-57-55, 2, dayEndGood, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351078.48, 2016-02-24_16-57-58, 4, askWeekend, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351095.69, 2016-02-24_16-58-15, 6, askWeekendNo, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351098.84, 2016-02-24_16-58-18, 7, meal1IfSuggested, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351098.84, 2016-02-24_16-58-18, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351116.64, 2016-02-24_16-58-36, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351128.28, 2016-02-24_16-58-48, 17, meal2CheckinLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351147.68, 2016-02-24_16-59-07, 21, meal2CheckinNoAte, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456351165.07, 2016-02-24_16-59-25, 22, meal2CheckinNoAteYesComp, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351184.95, 2016-02-24_16-59-44, 23, meal2CheckinNoAteYesCompYesResp, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351191.19, 2016-02-24_16-59-51, 26, meal3CheckinDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351205.1, 2016-02-24_17-00-05, 35, meal3CheckinNoHad, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351213.42, 2016-02-24_17-00-13, 36, checkEdgeSafety2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351230.39, 2016-02-24_17-00-30, 37, tellJoke_Statement2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351242.1, 2016-02-24_17-00-42, 38, exerciseCheckin, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456351259.54, 2016-02-24_17-00-59, 39, exerciseCheckinYesDid, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456351281.9, 2016-02-24_17-01-21, 42, exerciseCheckinYesDidEasyDiff, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456351289.58, 2016-02-24_17-01-29, 50, dayEndEnd, 1, 1, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
