
Zendai, 21, Daily Companion End of Day, 2016-02-25_18-27-31 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456442855.62, 2016-02-25_18-27-35, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456442881.51, 2016-02-25_18-28-01, 2, dayEndGood, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456442884.52, 2016-02-25_18-28-04, 4, askWeekend, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456442902.93, 2016-02-25_18-28-22, 5, askWeekendYes, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456442906.01, 2016-02-25_18-28-26, 7, meal1IfSuggested, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456442906.01, 2016-02-25_18-28-26, 15, checkEdgeSafety1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456442924.03, 2016-02-25_18-28-44, 16, tellJoke_Statement1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456442935.69, 2016-02-25_18-28-55, 17, meal2CheckinLunch, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456442952.06, 2016-02-25_18-29-12, 17, meal2CheckinLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456442972.79, 2016-02-25_18-29-32, 17, meal2CheckinLunch, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456442992.19, 2016-02-25_18-29-52, 21, meal2CheckinNoAte, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456443009.62, 2016-02-25_18-30-09, 22, meal2CheckinNoAteYesComp, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443032.25, 2016-02-25_18-30-32, 23, meal2CheckinNoAteYesCompYesResp, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443038.5, 2016-02-25_18-30-38, 26, meal3CheckinDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443054.46, 2016-02-25_18-30-54, 35, meal3CheckinNoHad, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443065.44, 2016-02-25_18-31-05, 36, checkEdgeSafety2, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443085.97, 2016-02-25_18-31-25, 37, tellJoke_Statement2, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443104.22, 2016-02-25_18-31-44, 38, exerciseCheckin, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443123.09, 2016-02-25_18-32-03, 43, exerciseCheckinNoDid, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443139.15, 2016-02-25_18-32-19, 46, exerciseCheckinNoDidNoComp, 2, 7, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 3.0]
1456443156.05, 2016-02-25_18-32-36, 47, exerciseCheckinNoDidNoCompCouldnt, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 3.0]
1456443168.07, 2016-02-25_18-32-48, 50, dayEndEnd, 1, 1, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 3.0]
