
Christina, 22, Daily Companion Morning, 2016-02-25_12-19-08 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456420752.48, 2016-02-25_12-19-12, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420782.05, 2016-02-25_12-19-42, 2, morningGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420786.2, 2016-02-25_12-19-46, 4, askWeather, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420802.82, 2016-02-25_12-20-02, 9, askWeatherBad, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420807.7, 2016-02-25_12-20-07, 10, askWeatherBadParis, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420835.18, 2016-02-25_12-20-35, 12, askWeatherBadDiffHome, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420856.07, 2016-02-25_12-20-56, 13, askWeatherBadDiffHomeYesTake, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420858.68, 2016-02-25_12-20-58, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420875.49, 2016-02-25_12-21-15, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420885.36, 2016-02-25_12-21-25, 17, askBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420902.96, 2016-02-25_12-21-42, 18, askBreakfastAte, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420908.97, 2016-02-25_12-21-48, 23, askDietPoultry, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420931.13, 2016-02-25_12-22-11, 24, askDietPoultryYesEat, 3, 3, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420935.06, 2016-02-25_12-22-15, 19, askDietGluten, 3, 3, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420951.28, 2016-02-25_12-22-31, 20, askDietGlutenYesEat, 3, 8, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420954.81, 2016-02-25_12-22-34, 26, meal2DecideLunch, 3, 8, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420977.98, 2016-02-25_12-22-57, 27, mealFeedbackLunch, 3, 8, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420993.06, 2016-02-25_12-23-13, 28, meal2FeedbackYesDelici, 0, 0, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456420997.08, 2016-02-25_12-23-17, 31, askDietFish, 0, 0, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456421011.61, 2016-02-25_12-23-31, 32, askDietFishYesEat, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456421019.94, 2016-02-25_12-23-39, 34, checkEdgeSafety2, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456421036.42, 2016-02-25_12-23-56, 35, tellJoke_Statement2, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456421047.1, 2016-02-25_12-24-07, 36, meal3DecideDinner, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456421061.82, 2016-02-25_12-24-21, 37, meal3FeedbackDinner, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456421078.06, 2016-02-25_12-24-38, 38, meal3FeedbackYesGood, 1, 6, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456421081.72, 2016-02-25_12-24-41, 41, exerciseDecide, 1, 6, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456421083.95, 2016-02-25_12-24-43, 43, exerciseWeatherBad, 1, 6, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456421093.97, 2016-02-25_12-24-53, 44, exerciseFeedback, 1, 6, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456421109.92, 2016-02-25_12-25-09, 45, exerciseFeedbackGood, 0, 0, [1.0 1.0 1.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
1456421115.45, 2016-02-25_12-25-15, 48, morningEnd, 0, 0, [2.0 3.0 2.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
