
Justin, 24, Daily Companion Morning, 2016-02-25_12-47-10 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456422434.09, 2016-02-25_12-47-14, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422464.54, 2016-02-25_12-47-44, 2, morningGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422468.68, 2016-02-25_12-47-48, 4, askWeather, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422483.94, 2016-02-25_12-48-03, 9, askWeatherBad, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422488.8, 2016-02-25_12-48-08, 10, askWeatherBadParis, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422514.08, 2016-02-25_12-48-34, 12, askWeatherBadDiffHome, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422534.12, 2016-02-25_12-48-54, 14, askWeatherBadDiffHomeNoTake, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422538.88, 2016-02-25_12-48-58, 15, checkEdgeSafety1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422554.33, 2016-02-25_12-49-14, 51, reactionScaredHighEdge, 7, 12, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422564.86, 2016-02-25_12-49-24, 51, reactionScaredHighEdge, 7, 12, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422573.69, 2016-02-25_12-49-33, 15, checkEdgeSafety1, 7, 12, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422592.85, 2016-02-25_12-49-52, 16, tellJoke_Statement1, 7, 12, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422593.85, 2016-02-25_12-49-53, 17, askBreakfast, 7, 12, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422615.78, 2016-02-25_12-50-15, 19, askDietGluten, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422632.38, 2016-02-25_12-50-32, 20, askDietGlutenYesEat, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422635.14, 2016-02-25_12-50-35, 22, meal1DecideBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422644.54, 2016-02-25_12-50-44, 23, askDietPoultry, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422662.08, 2016-02-25_12-51-02, 24, askDietPoultryYesEat, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422665.2, 2016-02-25_12-51-05, 26, meal2DecideLunch, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456422680.99, 2016-02-25_12-51-20, 27, mealFeedbackLunch, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
