
Justin, 24, Daily Companion End of Day, 2016-02-25_18-10-14 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456441821.16, 2016-02-25_18-10-21, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456441846.68, 2016-02-25_18-10-46, 2, dayEndGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456441849.7, 2016-02-25_18-10-49, 4, askWeekend, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456441866.74, 2016-02-25_18-11-06, 6, askWeekendNo, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456441869.91, 2016-02-25_18-11-09, 7, meal1IfSuggested, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456441869.92, 2016-02-25_18-11-09, 8, meal1CheckinBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456441888.76, 2016-02-25_18-11-28, 12, meal1CheckinNoAte, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456441907.97, 2016-02-25_18-11-47, 14, meal1CheckinNoAteNoHad, 4, 9, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1456441924.21, 2016-02-25_18-12-04, 15, checkEdgeSafety1, 4, 9, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1456441941.81, 2016-02-25_18-12-21, 16, tellJoke_Statement1, 4, 9, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1456441942.81, 2016-02-25_18-12-22, 17, meal2CheckinLunch, 4, 9, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1456441961.7, 2016-02-25_18-12-41, 21, meal2CheckinNoAte, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1456441982.47, 2016-02-25_18-13-02, 25, meal2CheckinNoAteNoComp, 4, 9, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 0.0]
1456441990.64, 2016-02-25_18-13-10, 26, meal3CheckinDinner, 4, 9, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 0.0]
1456442006.71, 2016-02-25_18-13-26, 35, meal3CheckinNoHad, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 0.0]
1456442017.69, 2016-02-25_18-13-37, 36, checkEdgeSafety2, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 0.0]
1456442038.51, 2016-02-25_18-13-58, 37, tellJoke_Statement2, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 0.0]
1456442056.82, 2016-02-25_18-14-16, 38, exerciseCheckin, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 0.0]
1456442074.19, 2016-02-25_18-14-34, 43, exerciseCheckinNoDid, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 0.0]
1456442089.37, 2016-02-25_18-14-49, 46, exerciseCheckinNoDidNoComp, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 3.0]
1456442106.13, 2016-02-25_18-15-06, 48, exerciseCheckinNoDidNoCompDidntWant, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 3.0]
1456442117.92, 2016-02-25_18-15-17, 50, dayEndEnd, 1, 1, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 3.0]
