
Veronica, 25, Daily Companion Morning, 2016-02-25_13-02-54 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456423378.49, 2016-02-25_13-02-58, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423408.05, 2016-02-25_13-03-28, 2, morningGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423412.21, 2016-02-25_13-03-32, 4, askWeather, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423428.23, 2016-02-25_13-03-48, 9, askWeatherBad, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423433.11, 2016-02-25_13-03-53, 10, askWeatherBadParis, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423461.03, 2016-02-25_13-04-21, 12, askWeatherBadDiffHome, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423480.77, 2016-02-25_13-04-40, 13, askWeatherBadDiffHomeYesTake, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423483.41, 2016-02-25_13-04-43, 15, checkEdgeSafety1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423499.94, 2016-02-25_13-04-59, 16, tellJoke_Statement1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423509.92, 2016-02-25_13-05-09, 17, askBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423530.72, 2016-02-25_13-05-30, 18, askBreakfastAte, 0, 5, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423536.69, 2016-02-25_13-05-36, 23, askDietPoultry, 0, 5, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423554.72, 2016-02-25_13-05-54, 24, askDietPoultryYesEat, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423557.86, 2016-02-25_13-05-57, 19, askDietGluten, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423574.13, 2016-02-25_13-06-14, 21, askDietGlutenNoEat, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423577.47, 2016-02-25_13-06-17, 26, meal2DecideLunch, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423591.46, 2016-02-25_13-06-31, 27, mealFeedbackLunch, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423606.3, 2016-02-25_13-06-46, 28, meal2FeedbackYesDelici, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423610.34, 2016-02-25_13-06-50, 31, askDietFish, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423627.92, 2016-02-25_13-07-07, 32, askDietFishYesEat, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423636.23, 2016-02-25_13-07-16, 34, checkEdgeSafety2, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423652.53, 2016-02-25_13-07-32, 35, tellJoke_Statement2, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423663.36, 2016-02-25_13-07-43, 36, meal3DecideDinner, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423677.93, 2016-02-25_13-07-57, 37, meal3FeedbackDinner, 1, 6, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456423693.04, 2016-02-25_13-08-13, 38, meal3FeedbackYesGood, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456423696.72, 2016-02-25_13-08-16, 41, exerciseDecide, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456423699.0, 2016-02-25_13-08-19, 43, exerciseWeatherBad, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456423708.99, 2016-02-25_13-08-28, 44, exerciseFeedback, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456423725.35, 2016-02-25_13-08-45, 45, exerciseFeedbackGood, 1, 1, [1.0 1.0 1.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
1456423730.93, 2016-02-25_13-08-50, 48, morningEnd, 1, 1, [2.0 3.0 2.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
