
Veronica, 25, Daily Companion End of Day, 2016-02-25_18-40-57 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456443661.63, 2016-02-25_18-41-01, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456443687.9, 2016-02-25_18-41-27, 2, dayEndGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456443690.89, 2016-02-25_18-41-30, 4, askWeekend, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456443708.59, 2016-02-25_18-41-48, 5, askWeekendYes, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456443711.67, 2016-02-25_18-41-51, 7, meal1IfSuggested, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456443711.67, 2016-02-25_18-41-51, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456443729.61, 2016-02-25_18-42-09, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456443741.2, 2016-02-25_18-42-21, 17, meal2CheckinLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456443763.93, 2016-02-25_18-42-43, 21, meal2CheckinNoAte, 3, 3, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456443781.3, 2016-02-25_18-43-01, 22, meal2CheckinNoAteYesComp, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443809.68, 2016-02-25_18-43-29, 23, meal2CheckinNoAteYesCompYesResp, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443815.92, 2016-02-25_18-43-35, 26, meal3CheckinDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443830.54, 2016-02-25_18-43-50, 35, meal3CheckinNoHad, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443838.9, 2016-02-25_18-43-58, 36, checkEdgeSafety2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443856.22, 2016-02-25_18-44-16, 37, tellJoke_Statement2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443867.95, 2016-02-25_18-44-27, 38, exerciseCheckin, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456443884.1, 2016-02-25_18-44-44, 39, exerciseCheckinYesDid, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456443903.58, 2016-02-25_18-45-03, 40, exerciseCheckinYesDidGoodDiff, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456443908.31, 2016-02-25_18-45-08, 50, dayEndEnd, 1, 6, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
