
Tan, 26, Daily Companion Morning, 2016-02-26_11-35-17 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456504524.69, 2016-02-26_11-35-24, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504552.5, 2016-02-26_11-35-52, 2, morningGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504556.67, 2016-02-26_11-35-56, 4, askWeather, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504571.86, 2016-02-26_11-36-11, 5, askWeatherGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504575.81, 2016-02-26_11-36-15, 6, askWeatherGoodJapan, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504601.35, 2016-02-26_11-36-41, 8, askWeatherGoodNoTravel, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504610.59, 2016-02-26_11-36-50, 15, checkEdgeSafety1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504627.31, 2016-02-26_11-37-07, 16, tellJoke_Statement1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504637.29, 2016-02-26_11-37-17, 17, askBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504655.0, 2016-02-26_11-37-34, 18, askBreakfastAte, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504660.97, 2016-02-26_11-37-40, 23, askDietPoultry, 1, 1, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504678.09, 2016-02-26_11-37-58, 24, askDietPoultryYesEat, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504681.22, 2016-02-26_11-38-01, 19, askDietGluten, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504699.93, 2016-02-26_11-38-19, 20, askDietGlutenYesEat, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504702.7, 2016-02-26_11-38-22, 26, meal2DecideLunch, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504718.35, 2016-02-26_11-38-38, 27, mealFeedbackLunch, 1, 6, [1.0 1.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504732.93, 2016-02-26_11-38-52, 28, meal2FeedbackYesDelici, 0, 0, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504736.97, 2016-02-26_11-38-56, 31, askDietFish, 0, 0, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504750.53, 2016-02-26_11-39-10, 32, askDietFishYesEat, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504758.84, 2016-02-26_11-39-18, 34, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504774.37, 2016-02-26_11-39-34, 35, tellJoke_Statement2, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504785.08, 2016-02-26_11-39-45, 36, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504799.72, 2016-02-26_11-39-59, 37, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456504814.45, 2016-02-26_11-40-14, 38, meal3FeedbackYesGood, 1, 6, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456504818.12, 2016-02-26_11-40-18, 41, exerciseDecide, 1, 6, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456504820.31, 2016-02-26_11-40-20, 42, exerciseWeatherGood, 1, 6, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456504829.06, 2016-02-26_11-40-29, 44, exerciseFeedback, 1, 6, [1.0 1.0 1.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1456504842.79, 2016-02-26_11-40-42, 45, exerciseFeedbackGood, 1, 6, [1.0 1.0 1.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
1456504848.35, 2016-02-26_11-40-48, 48, morningEnd, 1, 6, [2.0 2.0 2.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
