
Tan, 26, Daily Companion End of Day, 2016-02-26_16-24-56 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456521900.84, 2016-02-26_16-25-00, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521925.31, 2016-02-26_16-25-25, 2, dayEndGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521928.33, 2016-02-26_16-25-28, 4, askWeekend, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521950.77, 2016-02-26_16-25-50, 5, askWeekendYes, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521953.96, 2016-02-26_16-25-53, 7, meal1IfSuggested, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521953.96, 2016-02-26_16-25-53, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521971.06, 2016-02-26_16-26-11, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521982.63, 2016-02-26_16-26-22, 17, meal2CheckinLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456522005.05, 2016-02-26_16-26-45, 21, meal2CheckinNoAte, 2, 7, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456522024.11, 2016-02-26_16-27-04, 22, meal2CheckinNoAteYesComp, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456522046.65, 2016-02-26_16-27-26, 23, meal2CheckinNoAteYesCompYesResp, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456522052.88, 2016-02-26_16-27-32, 26, meal3CheckinDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456522066.72, 2016-02-26_16-27-46, 35, meal3CheckinNoHad, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456522075.07, 2016-02-26_16-27-55, 36, checkEdgeSafety2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456522091.44, 2016-02-26_16-28-11, 37, tellJoke_Statement2, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456522103.19, 2016-02-26_16-28-23, 38, exerciseCheckin, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456522121.31, 2016-02-26_16-28-41, 39, exerciseCheckinYesDid, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456522141.13, 2016-02-26_16-29-01, 40, exerciseCheckinYesDidGoodDiff, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456522145.87, 2016-02-26_16-29-05, 50, dayEndEnd, 1, 6, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
