
Christina, 28, Daily Companion End of Day, 2016-02-26_16-16-30 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456521397.61, 2016-02-26_16-16-37, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521426.46, 2016-02-26_16-17-06, 2, dayEndGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521429.54, 2016-02-26_16-17-09, 4, askWeekend, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521448.63, 2016-02-26_16-17-28, 5, askWeekendYes, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521451.71, 2016-02-26_16-17-31, 7, meal1IfSuggested, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521451.71, 2016-02-26_16-17-31, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521469.14, 2016-02-26_16-17-49, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521480.79, 2016-02-26_16-18-00, 17, meal2CheckinLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521500.64, 2016-02-26_16-18-20, 21, meal2CheckinNoAte, 2, 7, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456521520.55, 2016-02-26_16-18-40, 22, meal2CheckinNoAteYesComp, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456521539.25, 2016-02-26_16-18-59, 23, meal2CheckinNoAteYesCompYesResp, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456521545.53, 2016-02-26_16-19-05, 26, meal3CheckinDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456521559.55, 2016-02-26_16-19-19, 35, meal3CheckinNoHad, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456521567.85, 2016-02-26_16-19-27, 36, checkEdgeSafety2, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456521584.95, 2016-02-26_16-19-44, 37, tellJoke_Statement2, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456521596.83, 2016-02-26_16-19-56, 38, exerciseCheckin, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1456521619.52, 2016-02-26_16-20-19, 39, exerciseCheckinYesDid, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456521642.47, 2016-02-26_16-20-42, 40, exerciseCheckinYesDidGoodDiff, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1456521646.96, 2016-02-26_16-20-46, 50, dayEndEnd, 1, 6, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
