
Rahul, 29, Daily Companion Morning, 2016-02-26_12-50-17 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456509024.63, 2016-02-26_12-50-24, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509054.2, 2016-02-26_12-50-54, 2, morningGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509058.37, 2016-02-26_12-50-58, 4, askWeather, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509073.38, 2016-02-26_12-51-13, 9, askWeatherBad, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509078.28, 2016-02-26_12-51-18, 10, askWeatherBadParis, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509104.27, 2016-02-26_12-51-44, 11, askWeatherBadSameHome, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509108.88, 2016-02-26_12-51-48, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509125.93, 2016-02-26_12-52-05, 16, tellJoke_Statement1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509135.9, 2016-02-26_12-52-15, 17, askBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509153.08, 2016-02-26_12-52-33, 19, askDietGluten, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509169.28, 2016-02-26_12-52-49, 20, askDietGlutenYesEat, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509172.04, 2016-02-26_12-52-52, 22, meal1DecideBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509181.45, 2016-02-26_12-53-01, 23, askDietPoultry, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509198.76, 2016-02-26_12-53-18, 24, askDietPoultryYesEat, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509201.89, 2016-02-26_12-53-21, 26, meal2DecideLunch, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509217.58, 2016-02-26_12-53-37, 27, mealFeedbackLunch, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509232.44, 2016-02-26_12-53-52, 28, meal2FeedbackYesDelici, 0, 0, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509236.48, 2016-02-26_12-53-56, 31, askDietFish, 0, 0, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509251.09, 2016-02-26_12-54-11, 32, askDietFishYesEat, 1, 6, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509259.38, 2016-02-26_12-54-19, 34, checkEdgeSafety2, 1, 6, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509275.56, 2016-02-26_12-54-35, 35, tellJoke_Statement2, 1, 6, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509286.35, 2016-02-26_12-54-46, 36, meal3DecideDinner, 1, 6, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509301.1, 2016-02-26_12-55-01, 37, meal3FeedbackDinner, 1, 6, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456509316.4, 2016-02-26_12-55-16, 38, meal3FeedbackYesGood, 1, 6, [1.0 1.0 1.0 0.0 2.0 3.0 0.0 0.0 0.0 0.0 0.0]
1456509320.08, 2016-02-26_12-55-20, 41, exerciseDecide, 1, 6, [1.0 1.0 1.0 0.0 2.0 3.0 0.0 0.0 0.0 0.0 0.0]
1456509322.31, 2016-02-26_12-55-22, 43, exerciseWeatherBad, 1, 6, [1.0 1.0 1.0 0.0 2.0 3.0 0.0 0.0 0.0 0.0 0.0]
1456509332.32, 2016-02-26_12-55-32, 44, exerciseFeedback, 1, 6, [1.0 1.0 1.0 0.0 2.0 3.0 0.0 0.0 0.0 0.0 0.0]
1456509346.53, 2016-02-26_12-55-46, 45, exerciseFeedbackGood, 0, 0, [1.0 1.0 1.0 0.0 2.0 3.0 2.0 0.0 0.0 0.0 0.0]
1456509352.07, 2016-02-26_12-55-52, 48, morningEnd, 0, 0, [2.0 3.0 2.0 0.0 2.0 3.0 2.0 0.0 0.0 0.0 0.0]
