
Rahul, 29, Daily Companion End of Day, 2016-02-26_19-03-41 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1456531428.83, 2016-02-26_19-03-48, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456531456.64, 2016-02-26_19-04-16, 2, dayEndGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456531459.7, 2016-02-26_19-04-19, 4, askWeekend, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456531479.06, 2016-02-26_19-04-39, 5, askWeekendYes, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456531482.15, 2016-02-26_19-04-42, 7, meal1IfSuggested, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456531482.15, 2016-02-26_19-04-42, 8, meal1CheckinBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456531503.22, 2016-02-26_19-05-03, 12, meal1CheckinNoAte, 3, 3, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1456531521.46, 2016-02-26_19-05-21, 14, meal1CheckinNoAteNoHad, 4, 4, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1456531537.68, 2016-02-26_19-05-37, 15, checkEdgeSafety1, 4, 4, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1456531555.08, 2016-02-26_19-05-55, 16, tellJoke_Statement1, 4, 4, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1456531556.08, 2016-02-26_19-05-56, 17, meal2CheckinLunch, 4, 4, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0]
1456531576.04, 2016-02-26_19-06-16, 18, meal2CheckinYesAte, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1456531596.61, 2016-02-26_19-06-36, 19, meal2CheckinYesAteGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1456531599.35, 2016-02-26_19-06-39, 26, meal3CheckinDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1456531613.62, 2016-02-26_19-06-53, 35, meal3CheckinNoHad, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1456531621.98, 2016-02-26_19-07-01, 36, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1456531638.47, 2016-02-26_19-07-18, 37, tellJoke_Statement2, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1456531650.24, 2016-02-26_19-07-30, 38, exerciseCheckin, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 0.0]
1456531668.4, 2016-02-26_19-07-48, 39, exerciseCheckinYesDid, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 2.0]
1456531690.11, 2016-02-26_19-08-10, 42, exerciseCheckinYesDidEasyDiff, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 2.0]
1456531697.84, 2016-02-26_19-08-17, 50, dayEndEnd, 1, 1, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 3.0 2.0 0.0 2.0]
