
Human Two, 7, Daily Companion Morning, 2016-02-10_19-17-28 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455149852.29, 2016-02-10_19-17-32, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455149882.32, 2016-02-10_19-18-02, 2, morningGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455149886.43, 2016-02-10_19-18-06, 4, askWeather, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455149926.56, 2016-02-10_19-18-46, 5, askWeatherGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455149930.51, 2016-02-10_19-18-50, 6, askWeatherGoodJapan, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455149965.1, 2016-02-10_19-19-25, 7, askWeatherGoodYesTravel, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455149975.97, 2016-02-10_19-19-35, 15, checkEdgeSafety1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455149986.4, 2016-02-10_19-19-46, 16, askBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150132.32, 2016-02-10_19-22-12, 18, askDietGluten, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150156.43, 2016-02-10_19-22-36, 20, askDietGlutenNoEat, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150159.79, 2016-02-10_19-22-39, 21, meal1DecideBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150168.38, 2016-02-10_19-22-48, 22, askDietPoultry, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150231.79, 2016-02-10_19-23-51, 23, askDietPoultryYesEat, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150234.96, 2016-02-10_19-23-54, 25, meal2DecideLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150248.96, 2016-02-10_19-24-08, 26, mealFeedbackLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150272.06, 2016-02-10_19-24-32, 27, meal2FeedbackYesDelici, 1, 6, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150276.15, 2016-02-10_19-24-36, 30, askDietFish, 1, 6, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150297.23, 2016-02-10_19-24-57, 32, askDietFishNoEat, 1, 1, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150300.55, 2016-02-10_19-25-00, 33, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150311.29, 2016-02-10_19-25-11, 34, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150324.95, 2016-02-10_19-25-24, 35, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455150416.44, 2016-02-10_19-26-56, 36, meal3FeedbackYesGood, 1, 1, [1.0 1.0 1.0 0.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1455150420.11, 2016-02-10_19-27-00, 39, exerciseDecide, 1, 1, [1.0 1.0 1.0 0.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1455150422.3, 2016-02-10_19-27-02, 40, exerciseWeatherGood, 1, 1, [1.0 1.0 1.0 0.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1455150431.02, 2016-02-10_19-27-11, 42, exerciseFeedback, 1, 1, [1.0 1.0 1.0 0.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0]
1455150526.57, 2016-02-10_19-28-46, 43, exerciseFeedbackGood, 0, 5, [1.0 1.0 1.0 0.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
1455150532.15, 2016-02-10_19-28-52, 46, morningEnd, 0, 5, [2.0 3.0 2.0 0.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0]
