
Human Three, 8, Daily Companion Morning, 2016-02-11_10-18-56 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455203939.66, 2016-02-11_10-18-59, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455203985.4, 2016-02-11_10-19-45, 2, morningGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455203988.72, 2016-02-11_10-19-48, 4, askWeather, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204024.82, 2016-02-11_10-20-24, 5, askWeatherGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204027.13, 2016-02-11_10-20-27, 6, askWeatherGoodJapan, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204046.48, 2016-02-11_10-20-46, 7, askWeatherGoodYesTravel, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204053.81, 2016-02-11_10-20-53, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204061.75, 2016-02-11_10-21-01, 16, askBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204078.58, 2016-02-11_10-21-18, 17, askBreakfastAte, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204082.5, 2016-02-11_10-21-22, 22, askDietPoultry, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204101.26, 2016-02-11_10-21-41, 23, askDietPoultryYesEat, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204103.18, 2016-02-11_10-21-43, 18, askDietGluten, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204119.28, 2016-02-11_10-21-59, 19, askDietGlutenYesEat, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204120.99, 2016-02-11_10-22-00, 25, meal2DecideLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204130.73, 2016-02-11_10-22-10, 26, mealFeedbackLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204150.18, 2016-02-11_10-22-30, 27, meal2FeedbackYesDelici, 1, 6, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204153.1, 2016-02-11_10-22-33, 30, askDietFish, 1, 6, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204166.96, 2016-02-11_10-22-46, 31, askDietFishYesEat, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204171.68, 2016-02-11_10-22-51, 33, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204179.75, 2016-02-11_10-22-59, 34, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204188.88, 2016-02-11_10-23-08, 35, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204204.16, 2016-02-11_10-23-24, 36, meal3FeedbackYesGood, 1, 1, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455204206.48, 2016-02-11_10-23-26, 39, exerciseDecide, 1, 1, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455204207.79, 2016-02-11_10-23-27, 40, exerciseWeatherGood, 1, 1, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455204213.41, 2016-02-11_10-23-33, 42, exerciseFeedback, 1, 1, [1.0 1.0 1.0 0.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0]
1455204232.72, 2016-02-11_10-23-52, 45, exerciseFeedbackEasy, 4, 9, [1.0 1.0 1.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0]
1455204238.05, 2016-02-11_10-23-58, 46, morningEnd, 4, 9, [2.0 3.0 2.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0]
Human Three, 8, Daily Companion End of Day, 2016-02-11_10-25-26 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455204334.04, 2016-02-11_10-25-34, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204367.0, 2016-02-11_10-26-07, 2, dayEndGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204370.03, 2016-02-11_10-26-10, 4, askWeekend, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455204390.52, 2016-02-11_10-26-30, 5, askWeekendYes, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
