Time,Angry,ConcentrationLevel,Embarrassment,Excitement,Hesitation,ImaginationActivity,IntensiveThinking,Content,SAF,Upset,ExtremeState,Stress,Uncertainty,Energy,BrainPower,EmoCogRatio,MaxAmpVol,VoiceEnergy,Unknown,Valence,Arousal
16:04:19.10,0,1,0,15,17,2,6,0,2,0,0,8,15,2,581,43,4442,21,?,-2,-2
16:05:44.15,0,19,0,13,12,1,4,0,0,2,0,8,16,1,588,34,6297,22,?,-2,-1
16:05:49.18,0,1,7,18,15,0,6,3,2,0,0,8,15,1,506,28,7838,22,?,-1,-2
16:06:05.76,0,28,0,12,17,0,12,0,0,3,0,12,15,1,510,26,13048,22,?,-2,-1
16:06:11.07,0,2,7,24,17,0,5,9,3,0,1,3,9,2,537,44,5989,21,?,-1,-2
16:06:18.21,0,3,0,15,15,7,21,0,0,0,6,2,4,5,493,36,5518,21,?,-2,-1
16:06:45.09,0,0,0,27,17,3,0,14,2,0,0,0,0,9,608,109,14134,33,?,2,1
16:07:19.80,3,0,7,26,15,0,0,0,3,0,3,0,0,12,572,132,16458,26,?,-2,1
16:07:37.55,0,0,0,30,15,0,0,0,0,0,0,0,0,6,634,118,16333,22,?,2,1
16:07:40.98,0,0,7,22,15,0,0,5,0,0,0,0,0,6,541,88,7811,55,?,-2,-2
16:07:57.38,16,3,0,30,10,0,0,0,0,0,4,0,0,14,843,201,15428,20,?,-2,1
16:08:04.66,1,3,0,26,17,0,0,0,0,0,0,2,0,13,584,120,16552,21,?,-2,1
16:08:21.93,0,1,0,20,17,0,0,5,1,0,0,0,0,6,504,78,16701,23,?,2,0
16:08:25.75,0,0,7,30,19,0,0,12,0,0,0,0,0,10,604,97,7327,22,?,-1,0
16:08:28.86,0,8,0,28,12,3,3,14,0,0,0,0,8,3,735,83,6633,23,?,-2,-2
16:08:38.13,0,0,7,20,12,0,0,5,0,0,7,0,0,11,501,82,9175,20,?,-2,1
16:08:41.08,0,0,7,30,10,0,0,16,0,0,0,2,3,4,707,95,7792,76,?,-1,0
16:08:47.70,0,0,7,29,19,2,0,0,1,0,4,0,0,15,550,121,9630,22,?,-1,1
16:08:51.73,0,0,14,24,8,0,5,8,0,0,5,0,0,11,495,90,8706,20,?,-2,1
16:08:58.10,0,0,7,28,15,0,0,11,0,0,2,0,0,15,530,106,12283,25,?,2,0
16:09:16.15,3,0,14,30,17,1,0,0,1,0,0,0,0,8,655,133,9882,21,?,-1,0
16:09:20.71,0,0,14,26,19,1,0,0,0,0,2,0,0,17,572,124,11444,22,?,-2,0
16:09:35.18,5,0,0,30,19,0,0,0,3,0,7,0,0,17,562,143,11607,22,?,-1,1
16:09:39.60,0,0,0,30,15,1,0,12,1,0,0,0,0,12,572,109,11407,20,?,-1,1
16:09:56.06,0,0,7,22,19,0,0,0,2,0,0,0,0,6,519,115,6129,20,?,-1,-2
16:09:58.73,5,0,0,30,19,0,0,0,0,0,2,0,0,9,680,143,11258,21,?,-2,1
16:10:01.85,0,4,0,30,17,0,2,8,0,0,1,2,0,8,538,86,9510,28,?,-1,1
16:10:05.07,0,0,30,22,17,1,0,6,0,0,0,2,0,8,550,93,13526,21,?,-2,0
16:10:09.63,0,0,14,25,17,0,0,9,0,0,0,1,0,5,614,94,9715,20,?,-2,0
16:10:16.86,0,8,0,24,19,1,0,7,0,0,0,0,0,6,562,100,5926,21,?,-1,-2
16:10:22.29,1,11,0,26,19,1,0,0,0,0,8,2,0,6,614,118,11253,20,?,-2,1
16:10:26.32,0,21,0,20,15,0,7,5,10,0,3,2,12,2,634,56,8831,23,?,-1,-2
16:10:30.80,6,0,0,30,12,0,0,0,0,0,4,0,0,9,673,156,8147,20,?,-2,0
16:10:34.02,7,0,14,30,12,0,0,0,0,0,3,0,0,15,660,152,9579,21,?,-2,0
16:10:51.26,0,0,0,18,17,0,0,0,0,0,0,0,0,6,517,94,9619,20,?,-2,-1
16:10:54.60,0,0,7,24,19,0,0,0,0,0,4,0,0,12,525,115,7645,21,?,-2,-2
16:11:11.02,3,0,0,30,15,0,0,0,0,0,0,0,0,8,604,136,10586,21,?,-1,0
16:11:14.94,0,0,7,29,17,2,0,13,1,0,0,2,0,13,577,105,15763,23,?,2,1
16:11:18.08,6,3,0,30,21,0,0,0,2,0,8,0,0,12,708,153,9924,20,?,-2,1
16:11:22.62,0,9,0,22,17,0,0,3,0,0,0,0,0,4,578,85,12288,20,?,-2,1
16:11:25.74,7,10,0,30,8,0,0,0,0,0,8,0,0,19,580,164,16192,27,?,-2,1
16:11:29.07,2,0,21,26,19,1,0,0,2,0,4,0,0,23,593,131,16072,20,?,-2,1
16:11:32.29,5,0,28,30,15,0,0,0,1,0,0,0,0,7,640,142,9092,24,?,-1,0
16:11:40.83,7,0,7,30,17,0,0,0,0,0,2,0,0,10,682,165,15264,22,?,-2,1
16:11:48.30,21,4,0,30,17,0,0,0,0,0,6,0,0,25,934,280,6452,20,?,-2,-1
16:12:27.75,0,2,7,30,12,5,7,7,2,0,0,2,7,3,610,59,16363,21,?,2,1
16:13:41.70,0,6,0,30,12,3,10,15,0,0,6,4,13,9,624,51,4060,20,?,-1,-2
16:14:39.02,0,4,0,21,17,0,5,6,0,0,0,6,18,1,576,35,4886,22,?,-1,-2
16:20:47.63,0,0,0,15,21,2,2,0,1,0,0,2,10,2,529,49,4572,22,?,-2,-2
16:20:50.72,0,7,0,18,12,3,4,3,0,0,0,0,0,8,496,63,16493,21,?,-2,0
16:20:57.85,0,28,0,15,17,2,0,0,12,0,4,0,0,4,413,65,13308,20,?,2,1
16:21:08.79,0,30,0,20,15,3,2,2,0,0,0,3,3,3,579,68,16981,20,?,2,2
16:21:12.90,0,0,14,17,12,0,6,2,0,0,0,0,13,2,574,48,6893,21,?,-2,-1
16:21:23.56,0,0,0,16,21,0,5,1,0,0,0,1,15,1,552,37,5548,25,?,-2,-1
16:21:26.29,0,5,0,21,12,2,8,4,4,0,4,0,0,5,526,70,7395,22,?,-1,-2
16:21:46.93,9,18,0,30,17,0,0,0,8,0,6,0,0,15,796,168,10356,23,?,-1,-2
16:21:50.95,0,0,0,12,15,10,23,0,2,3,5,16,15,1,470,20,16648,28,?,0,1
16:21:57.60,0,0,0,22,17,0,3,5,0,0,0,1,2,3,604,73,10041,28,?,-2,-1
16:22:03.50,0,10,0,23,15,1,0,8,0,0,0,4,5,2,551,63,10510,24,?,-2,1
16:22:08.63,0,0,21,16,17,1,7,1,1,0,0,8,9,2,548,48,8080,21,?,-2,-1
16:22:12.95,0,15,0,22,17,8,12,7,0,0,1,8,9,2,528,41,7392,70,?,-1,-2
16:22:18.15,0,4,0,15,19,6,14,0,5,0,2,8,15,1,609,37,12115,30,?,-2,-1
16:22:24.07,0,11,0,13,17,1,16,0,0,2,0,14,15,2,499,28,11323,22,?,-2,-1
