@relation arousal

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute arousal {-2,-1,0,1,2}

@data

55,12,3,88,116,43,497,7,-37,4,0,0,0,0,0,0,0,-1,-1,0,0,1,191,1,4,2,8,1,2,1,2,1,0,4,1,-200,122,-39,46,-40,21,-12,15,-19,2
64,15,3,92,118,34,546,7,-36,4,0,0,-1,1,1,0,0,-1,-1,0,0,1,230,1,6,1,6,4,2,0,2,0,0,3,1,-189,98,-28,41,-34,18,-6,10,-6,2
54,12,2,96,147,38,456,7,-37,4,0,0,0,1,1,0,0,-1,0,0,0,0,155,1,3,1,7,2,4,1,3,0,0,4,1,-155,58,-45,57,-21,20,-18,14,-15,2
75,13,3,117,151,42,438,8,-36,4,0,0,0,1,0,0,0,-1,0,0,0,1,217,3,3,1,6,4,3,1,1,0,0,7,1,-160,78,-55,46,-31,39,-12,18,-24,2
70,16,3,101,123,49,506,9,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,253,3,5,3,6,1,2,2,2,0,0,6,0,-202,129,-46,38,-26,17,-10,15,-15,2
60,12,3,87,107,37,446,8,-36,4,0,0,0,1,1,0,0,0,0,0,0,1,203,3,4,1,4,1,2,3,1,0,0,8,0,-209,137,-42,32,-26,14,-10,14,-14,2
49,7,2,85,128,28,454,6,-38,5,0,1,0,1,1,0,0,0,0,0,0,1,161,2,2,1,8,1,2,1,3,0,0,7,0,-171,69,-30,56,-29,12,-13,20,-11,2
67,12,3,93,112,38,512,8,-36,4,0,0,0,1,1,0,0,-1,0,0,0,1,273,2,4,2,7,4,3,0,4,0,0,3,1,-200,127,-49,46,-35,26,-18,21,-14,2
50,6,2,77,110,32,409,6,-38,5,0,0,0,1,1,0,0,0,0,0,0,1,178,1,2,3,6,2,2,1,6,0,0,5,0,-195,102,-23,39,-34,16,-8,12,-14,2
