@relation arousal

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute arousal {-2,-1,0,1,2}

@data

54,11,2,95,125,40,280,8,-34,4,0,0,0,0,0,0,0,-1,-1,0,0,1,202,5,9,6,9,11,4,6,1,4,4,3,4,-212,154,-69,64,-66,48,-32,34,-36,2
64,15,2,99,123,36,414,9,-34,4,0,0,-1,0,1,0,0,-1,-1,0,0,1,224,3,9,6,5,10,8,3,1,2,3,3,3,-213,161,-86,76,-63,43,-26,29,-25,2
53,10,3,102,154,38,386,7,-35,4,0,0,0,1,0,0,0,-1,0,0,1,1,147,3,8,2,4,8,11,4,1,2,4,4,2,-160,63,-51,73,-38,35,-30,26,-29,2
76,13,3,122,157,45,373,8,-34,4,0,0,0,1,0,0,0,-1,0,0,0,1,223,7,9,2,4,9,7,6,2,2,2,10,6,-170,96,-65,61,-50,50,-24,26,-32,2
71,17,3,108,129,45,291,9,-32,4,0,0,0,1,1,0,0,-1,-1,0,0,1,260,6,10,5,11,4,4,7,4,2,5,5,5,-220,179,-94,60,-37,27,-25,27,-25,2
58,12,3,93,119,38,470,8,-34,4,0,0,0,1,1,0,0,0,-1,0,0,1,185,9,10,3,3,7,6,9,2,2,4,6,4,-215,158,-69,50,-36,27,-21,22,-22,2
49,6,3,89,140,21,388,6,-36,4,0,0,0,1,1,0,0,-1,0,0,0,1,137,7,8,3,9,8,3,5,2,3,4,7,4,-175,77,-46,81,-49,18,-17,26,-18,2
65,12,3,101,122,36,499,9,-34,4,0,0,0,1,1,0,0,-1,-1,0,0,1,240,4,8,4,4,13,9,2,3,4,4,3,2,-208,150,-79,75,-62,36,-18,28,-31,2
47,5,2,79,115,34,279,7,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,180,5,7,4,6,12,4,7,3,6,7,6,2,-209,145,-76,74,-54,34,-25,25,-22,2
50,4,3,78,109,22,276,7,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,122,4,11,4,11,11,8,8,1,4,3,3,2,-211,139,-52,43,-26,18,-11,7,-12,2
60,15,3,93,125,25,429,8,-34,4,0,0,0,0,1,0,0,-1,-1,0,0,1,202,7,11,4,3,4,6,3,2,2,3,8,3,-200,127,-65,72,-47,30,-19,23,-30,2
63,8,2,98,123,40,412,8,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,239,6,12,3,2,5,3,10,4,3,2,4,3,-213,157,-69,53,-57,50,-24,19,-15,2
63,18,3,101,131,21,506,8,-34,3,0,0,0,1,0,0,0,-1,-1,0,0,1,189,7,11,10,11,4,3,5,1,1,3,4,3,-210,159,-81,62,-51,41,-28,32,-30,2
48,10,3,88,113,33,338,8,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,166,6,10,9,7,5,4,4,2,2,2,5,2,-218,159,-61,51,-55,39,-23,28,-33,2
56,18,3,95,126,25,603,8,-33,4,0,0,0,0,0,0,0,-1,-1,0,0,1,229,4,11,5,5,5,3,4,1,4,7,4,2,-195,119,-58,61,-43,35,-23,21,-21,2
55,10,3,86,110,27,468,8,-35,5,0,0,0,0,1,0,0,0,-1,0,0,1,196,4,9,2,4,5,4,5,1,1,1,7,8,-214,150,-74,77,-58,38,-23,21,-24,2
58,12,3,99,136,48,392,8,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,181,2,12,3,2,12,6,5,2,3,5,5,4,-190,109,-37,36,-28,27,-23,15,-6,2
56,10,3,90,111,35,254,9,-34,5,0,0,0,1,1,0,0,-1,-1,0,0,1,182,5,15,1,6,6,7,7,2,2,7,4,2,-228,170,-57,52,-68,45,-17,21,-24,2
57,13,3,93,133,22,493,7,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,199,2,14,2,9,6,4,5,1,4,4,3,2,-179,78,-19,46,-41,25,-14,23,-22,2
65,13,2,110,140,44,353,8,-34,4,0,0,0,1,1,0,0,-1,-1,0,0,1,189,5,9,5,6,8,6,6,3,1,4,5,3,-191,133,-87,72,-55,49,-26,29,-36,2
56,12,3,97,144,13,419,7,-34,4,0,0,0,0,1,0,0,-1,-1,0,0,1,190,4,13,8,5,4,5,3,1,1,3,3,1,-175,82,-43,67,-51,32,-10,20,-27,2
42,6,3,69,104,23,315,5,-38,5,0,1,0,1,1,0,0,-1,0,0,0,1,184,5,16,2,5,6,4,6,2,3,5,5,2,-203,125,-43,40,-32,24,-13,11,-11,2
