Name,Zcr,Energy,EnergyEntropy,SpecCentro,SpecCentroSpread,SpecEntropy,SpecFlux,SpecRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,HarmonicRatio,F0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12,,,,,,,,,
alex_angry.wav,41,9,2,64,99,28,654,5,-38,5,0,1,0,1,0,0,0,-1,0,0,1,1,133,4,0,12,1,4,1,4,0,0,0,0,1,-203,117,-31,39,-33,25,-23,26,-12
alex_angry.wav,54,12,2,82,104,37,916,6,-37,4,0,0,0,1,1,0,0,-1,0,1,1,1,213,0,0,11,0,17,0,2,0,0,4,1,1,-198,127,-50,37,-24,13,-6,9,-3
alex_angry.wav,41,11,3,89,147,26,1005,5,-37,5,0,0,0,0,0,0,-1,-1,0,0,1,1,130,0,0,7,8,6,5,5,0,0,0,3,2,-140,3,-4,76,-50,28,11,-19,-6
alex_angry.wav,73,13,3,130,174,33,702,9,-35,4,0,0,0,0,0,0,0,0,-1,-1,0,1,230,9,5,4,0,3,0,1,1,1,0,10,1,-149,75,-85,59,-10,26,-1,-8,-6
alex_angry.wav,77,11,3,102,117,50,534,10,-33,4,-1,0,0,1,1,0,0,-1,0,0,0,1,328,1,1,11,5,9,4,4,0,1,2,4,6,-227,170,-52,30,-34,15,4,2,-4
alex_angry.wav,72,18,3,96,113,52,623,10,-33,4,0,0,0,1,1,0,-1,-1,-1,0,0,1,214,1,1,8,1,0,11,1,0,1,0,12,1,-213,154,-80,58,-25,23,-5,-6,-22
alex_angry.wav,52,10,2,85,123,9,708,6,-35,5,0,1,0,1,1,0,0,0,-1,0,0,1,187,14,0,4,2,8,0,13,2,2,1,6,1,-193,98,-16,42,-57,15,21,12,-9
alex_angry.wav,74,24,3,121,151,42,1281,8,-35,3,0,0,0,1,1,0,0,-1,-1,0,0,1,407,7,0,6,14,5,1,1,2,1,0,4,1,-157,68,-44,56,-24,10,-17,13,-5
alex_angry.wav,59,10,3,82,106,33,738,7,-36,4,0,0,0,1,1,0,0,-1,0,0,0,1,336,1,1,10,4,1,1,9,1,3,2,12,1,-215,155,-62,36,-27,26,-19,21,-16
alex_angry.wav,63,8,3,76,78,44,453,9,-35,6,0,0,0,1,0,0,0,0,0,0,0,1,147,4,3,6,7,10,13,1,1,1,4,2,0,-268,244,-78,11,-23,15,7,-4,-9
alex_angry.wav,49,10,3,77,106,10,1351,6,-37,5,0,0,0,0,1,1,0,0,-1,0,0,1,254,7,1,12,0,1,1,2,1,0,0,9,0,-172,37,3,80,-17,-41,-10,29,-6
alex_angry.wav,59,3,3,106,151,29,890,6,-38,4,0,1,1,0,0,0,0,-1,0,0,0,0,93,4,0,9,1,1,0,7,3,0,0,3,0,-146,43,-39,50,1,9,-21,11,-10
alex_angry.wav,45,15,3,71,102,3,617,7,-36,5,0,0,0,0,1,0,0,-1,-1,-1,0,1,208,0,3,17,0,1,1,1,0,0,2,0,0,-201,118,-53,74,-56,31,-23,41,-34
alex_angry.wav,38,7,2,89,124,28,767,7,-36,4,0,0,0,0,1,0,0,-1,-1,0,0,1,189,2,0,12,2,5,1,4,1,1,0,2,1,-188,86,-7,44,-44,11,-13,26,-1
alex_angry.wav,51,15,3,72,97,9,1597,5,-36,5,1,0,0,1,1,0,0,-1,-1,0,0,1,207,2,0,9,1,1,0,2,0,0,3,15,2,-199,102,-20,40,-33,21,12,-18,-14
alex_angry.wav,43,6,3,69,94,31,472,6,-37,5,0,0,0,1,1,0,0,-1,0,0,0,0,101,9,0,8,1,6,2,5,1,2,6,4,1,-226,157,-49,68,-74,25,-20,46,-23
alex_angry.wav,50,12,3,72,106,51,803,7,-37,5,0,0,0,1,1,0,0,-1,0,0,0,1,232,1,0,6,0,8,9,6,0,1,3,9,0,-193,103,-18,25,-22,2,10,23,-28
alex_angry.wav,52,8,2,98,130,60,264,8,-34,4,-1,1,0,1,1,0,0,-1,-1,0,0,1,156,1,3,8,1,13,1,5,3,1,9,6,2,-217,134,-14,53,-105,45,-7,46,-23
alex_angry.wav,82,22,3,104,130,50,951,9,-33,4,0,0,-1,1,1,0,0,-1,0,0,0,1,296,8,0,5,8,0,8,2,1,2,2,1,1,-195,118,-44,57,-63,44,-20,31,-43
