@relation valence

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute valence {-2,-1,0,1,2}

@data

55,12,3,92,121,39,554,8,-36,4,0,0,0,1,0,0,0,-1,-1,0,0,1,181,3,1,10,5,6,4,3,2,1,3,2,1,-205,133,-45,47,-47,28,-13,14,-16,-1
63,15,3,94,126,31,659,7,-36,4,0,0,0,0,1,0,0,-1,-1,0,0,1,206,3,2,11,3,7,3,2,1,1,2,2,1,-188,103,-41,49,-35,19,-11,16,-10,-1
54,11,3,97,151,37,477,7,-37,4,0,0,0,1,1,0,0,-1,0,0,0,0,157,2,2,7,3,6,6,5,1,1,2,3,1,-156,57,-44,62,-28,23,-20,16,-18,-1
74,12,3,118,152,42,462,9,-35,4,0,0,0,1,0,0,0,-1,0,0,0,1,210,5,1,6,2,3,6,3,1,1,1,8,2,-166,87,-54,45,-39,44,-11,17,-32,-1
70,16,3,103,129,47,571,9,-34,4,0,0,0,1,1,0,0,-1,-1,0,0,1,253,3,1,10,4,5,2,5,2,1,3,7,2,-206,144,-66,54,-40,32,-26,26,-18,-1
59,12,3,88,111,37,482,8,-35,4,0,0,0,0,1,0,0,0,-1,0,0,1,197,5,3,7,1,3,3,5,1,1,2,8,3,-212,146,-52,42,-33,21,-18,18,-13,-1
49,6,2,86,131,28,488,6,-38,5,0,0,0,1,1,0,0,-1,0,0,0,1,139,4,1,8,3,5,2,4,1,1,3,6,2,-170,67,-28,56,-33,14,-9,17,-14,-1
67,12,3,94,114,36,613,8,-35,4,0,0,0,1,1,0,0,-1,0,0,0,1,250,2,1,7,4,8,4,3,1,1,2,4,2,-207,144,-65,60,-50,34,-25,30,-23,-1
50,6,3,77,114,24,430,6,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,188,3,1,7,3,6,3,7,1,2,4,6,1,-201,118,-38,49,-41,22,-12,17,-19,-1
51,5,3,81,106,32,440,7,-37,5,0,0,0,0,1,0,0,0,0,0,0,1,128,2,1,11,5,9,4,5,1,1,2,2,1,-204,122,-31,25,-19,16,-6,2,-7,-1
57,14,3,85,114,26,520,7,-36,4,0,0,0,0,1,0,0,-1,-1,0,0,1,178,3,1,9,0,4,3,3,0,1,1,7,2,-194,111,-52,67,-41,24,-21,24,-26,-1
62,7,3,99,124,40,466,8,-36,4,0,0,0,1,0,0,0,-1,0,0,0,1,173,5,2,8,2,4,2,6,1,1,2,3,2,-196,121,-50,49,-38,28,-16,19,-20,-1
62,18,3,94,119,29,498,8,-35,4,0,0,0,0,0,0,0,-1,-1,0,0,1,197,3,1,13,7,1,1,4,0,0,2,2,2,-209,150,-67,56,-47,34,-28,34,-29,-1
48,11,3,80,110,30,463,7,-36,4,0,0,0,1,1,0,0,-1,-1,0,0,1,168,3,2,10,3,4,3,4,1,1,2,3,1,-205,123,-32,44,-43,20,-11,19,-15,-1
58,19,3,96,132,29,666,7,-34,4,0,0,0,0,0,0,0,-1,-1,0,0,1,214,5,2,9,2,3,2,3,1,1,4,3,1,-187,108,-52,56,-38,26,-11,14,-20,-1
57,11,3,82,105,29,547,7,-36,5,0,0,0,1,1,0,0,0,-1,0,0,1,185,6,1,8,2,4,3,4,1,1,1,7,3,-213,145,-62,62,-46,26,-14,14,-16,-1
58,11,3,97,132,46,441,8,-36,4,0,0,0,1,1,0,0,-1,0,0,0,1,194,3,1,10,2,5,5,3,1,2,3,4,2,-190,109,-42,47,-35,31,-29,22,-14,-1
57,10,3,88,112,40,463,8,-35,5,0,0,0,1,1,0,0,-1,-1,0,0,1,184,6,3,8,2,5,4,6,1,1,4,4,2,-212,130,-27,38,-46,24,-9,18,-16,-1
59,15,3,88,119,27,511,7,-36,4,0,0,0,1,1,0,0,-1,-1,0,0,1,207,3,3,9,4,5,2,4,0,1,3,2,1,-184,91,-30,50,-42,28,-17,21,-19,-1
64,13,3,103,139,36,549,7,-35,4,0,0,0,1,1,0,0,-1,0,0,0,1,207,4,2,10,4,4,3,4,1,1,3,5,2,-186,115,-61,53,-38,28,-12,24,-32,-1
54,12,3,86,126,13,615,6,-36,5,0,0,0,0,1,0,0,-1,-1,0,0,1,170,4,3,12,4,2,2,3,0,1,1,3,1,-178,73,-20,56,-42,15,-7,26,-24,-1
43,7,2,69,103,25,355,5,-38,5,0,1,0,1,1,0,0,-1,0,0,0,1,175,3,2,12,1,5,3,4,1,1,3,2,1,-197,112,-31,33,-28,20,-11,13,-12,-1
66,14,3,113,139,45,565,9,-34,4,0,0,0,0,0,0,0,-1,0,0,0,1,185,4,1,8,5,6,3,5,1,1,2,4,1,-195,143,-88,60,-50,57,-29,24,-28,-1
52,9,3,83,115,34,551,7,-37,5,0,0,0,1,1,0,0,-1,0,0,0,1,199,3,1,9,5,4,2,5,1,1,4,5,1,-199,113,-27,34,-29,12,-13,21,-15,-1
53,15,3,93,140,38,440,6,-37,4,0,0,0,1,1,0,0,-1,-1,0,0,1,160,2,1,9,5,7,2,2,1,1,2,3,1,-170,75,-36,58,-40,20,-12,26,-23,-1
64,12,3,110,144,49,412,8,-35,4,0,0,0,1,0,0,0,-1,0,0,0,1,230,3,2,8,3,5,4,7,1,2,2,4,1,-183,107,-51,52,-42,34,-23,26,-19,-1
57,11,3,94,129,19,513,7,-36,4,0,0,0,0,0,0,0,-1,-1,0,0,1,203,4,4,8,2,5,4,5,1,1,1,4,1,-179,80,-22,44,-35,25,-12,12,-19,-1
58,9,3,90,120,30,483,8,-36,5,0,0,0,0,1,0,0,0,-1,0,0,1,169,5,2,8,2,4,3,5,1,1,2,5,2,-203,122,-41,55,-55,34,-15,15,-18,-1
69,17,3,110,145,38,631,8,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,245,3,1,10,4,4,2,5,1,1,2,2,1,-181,101,-50,56,-40,36,-33,27,-18,-1
63,10,3,100,127,43,485,8,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,194,6,2,9,3,4,3,4,1,1,2,3,1,-210,151,-70,53,-34,27,-25,20,-16,-1
30,2,3,54,92,5,231,4,-39,5,1,1,1,1,1,0,0,-1,0,0,0,1,113,4,3,19,1,1,1,3,0,1,1,2,0,-186,75,-5,36,-12,-16,2,11,-16,-1
34,2,3,56,89,9,216,4,-38,5,1,1,0,0,1,0,0,0,0,0,0,1,117,12,1,14,1,3,1,4,0,2,1,2,0,-197,93,-4,31,-20,-14,9,9,-14,-1
