@relation valence

@attribute Zcr numeric
@attribute Energy numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute MFCC14 numeric
@attribute MFCC15 numeric
@attribute MFCC16 numeric
@attribute MFCC17 numeric
@attribute MFCC18 numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute LPC10 numeric
@attribute LPC11 numeric
@attribute LPC12 numeric
@attribute LPC13 numeric
@attribute LPC14 numeric
@attribute valence {-2,-1,0,1,2}

@data

0.4577601,1.327774,0.5901959,0.3605654,0.6456681,0.5886897,0.8839122,0.4258744,0.4315517,0.7233929,0.6903182,0.4524679,0.2847009,0.4080816,0.4796468,0.664772,0.6658007,0.4870698,0.4120019,0.3803982,0.5064563,0.7988433,0.7718217,0.6900789,0.3232334,0.2757483,0.0562158,0.0906827,0.3505728,0.0518156,0.3453195,0.4775667,0.2274266,0.0527699,0.0687111,0.5062452,0.181317,0.4796394,0.4615334,0.5806981,0.4220299,0.427177,0.517793,0.2735305,0.6395781,0.2388565,0.5321799,0.5605554,0.573917,0.3601194,0.7063414,-1
0.8310252,1.1002375,0.9406307,0.5502334,0.5681118,0.7696788,0.9961743,0.3553679,0.5433251,0.6269083,0.459617,0.2060939,0.3368927,0.6206888,0.4874671,0.6576032,0.7705185,0.5815522,0.5248933,0.3255815,0.2877688,0.5936364,0.6892414,0.7904323,0.4858302,0.142548,0.2735759,0.2323048,0.4273785,0.3411837,0.3856858,0.5163767,0.185228,0.1693929,0.1050864,0.4038642,0.1432335,0.5989154,0.477634,0.3835164,0.545003,0.3269946,0.7008283,0.0589727,0.8709671,0.1741474,0.6860539,0.4432914,0.7761441,0.1438642,0.8947241,-1
1.0016606,0.5437122,0.9372174,0.6129347,0.5036107,1.2519793,0.8649529,0.3501956,0.5492006,0.7139247,0.6778991,0.160745,0.1323995,0.5149681,0.5925148,0.6995417,0.7431904,0.6479942,0.6432519,0.5094111,0.4647886,0.6691906,0.6994329,0.6858756,0.4458573,0.2510765,0.2336734,0.1872439,0.3393177,0.1382785,0.4696348,0.3968983,0.256598,0.2192949,0.0634033,0.3483224,0.3624394,0.6858079,0.4034858,0.438538,0.4804909,0.50263,0.4334191,0.2948121,0.7305999,0.2076824,0.645434,0.5126005,0.6370586,0.3022708,0.6695532,-1
0.8721605,1.3840525,0.9758942,0.5289306,0.3760986,0.6756453,1.0404873,0.3836927,0.6053696,0.5148609,0.4558533,0.1975158,0.2096745,0.6905277,0.5113117,0.6396105,0.7077463,0.5968469,0.5469508,0.428203,0.4622723,0.6417149,0.6395908,0.694176,0.5238494,0.3453431,0.3710824,0.2722083,0.4636755,0.3304819,0.3918534,0.6496872,0.2295379,0.1420553,0.0556309,0.2740559,0.1582542,0.6364793,0.481222,0.3029502,0.6070577,0.3058249,0.6808469,0.2324327,0.7343867,0.1900223,0.7025703,0.4308484,0.6577531,0.2370613,0.8042415,-1
0.549172,0.8945636,0.6669284,0.427291,0.7000085,0.7201343,0.8647999,0.3915507,0.4469068,0.7297191,0.6478638,0.4407515,0.3706449,0.5453267,0.5112667,0.6388325,0.7064255,0.58054,0.568204,0.4709956,0.4707536,0.7263191,0.7089232,0.7043661,0.2885138,0.1970265,0.1795291,0.2222435,0.3902348,0.2563853,0.3468023,0.5258532,0.1582523,0.1627035,0.028911,0.437803,0.2876108,0.5144283,0.4824021,0.5271407,0.3682383,0.5402202,0.4341082,0.3371616,0.6525468,0.2541656,0.4188446,0.6308995,0.5164795,0.3847468,0.7225297,-1
0.600972,1.3027,0.6243292,0.51764,0.4258009,0.5603786,1.0679357,0.4063698,0.4816252,0.5641514,0.3637338,0.1713121,0.0987017,0.6756579,0.5722741,0.8332235,0.8606429,0.6984438,0.6866358,0.379993,0.2826955,0.4125022,0.3839367,0.5901223,0.4074255,0.1078779,0.4835514,0.1561322,0.6439755,0.50471,0.7073236,0.7027941,0.2138422,0.5665187,0.0479461,0.1456601,0.3026016,0.3384932,0.6896334,0.34747,0.4889809,0.3602487,0.680436,0.1858618,0.6828003,0.2065342,0.5516257,0.5096329,0.7494152,0.1669727,0.9154942,-1
0.4623307,1.0396248,0.7383127,0.2603947,0.5613098,0.5118452,0.839476,0.4200593,0.6170703,0.7073862,0.6442692,0.2831747,0.2151144,0.574138,0.5790533,0.6145241,0.6702021,0.5054158,0.5070606,0.4700013,0.5285696,0.7783595,0.7630874,0.7512224,0.1928719,0.2163212,0.2398218,0.2135775,0.4531427,0.0996914,0.3356003,0.2073477,0.1082234,0.0328749,0.0553742,0.4371478,0.1826198,0.6502978,0.3222111,0.5583061,0.476249,0.5268266,0.4846849,0.3030084,0.6627865,0.2229935,0.4810821,0.5673971,0.5819911,0.3370424,0.8416368,-1
0.8043634,0.9051613,0.8398062,0.501243,0.475454,0.8242788,1.0040711,0.328681,0.6326226,0.6158453,0.4349731,0.1848677,0.0910702,0.614013,0.6573248,0.7213898,0.7662425,0.5416092,0.5242328,0.3396271,0.4351731,0.6472581,0.6003334,0.5743795,0.5762441,0.2478256,0.3937627,0.1680411,0.3038555,0.1398051,0.4579039,0.2769827,0.392834,0.2537245,0.1063754,0.3408645,0.2645567,0.5154706,0.631662,0.1805838,0.6777993,0.2647954,0.7105467,0.0798157,0.98045,0.0996152,0.6855524,0.4633805,0.8407424,0.0398256,0.9795373,-1
0.6573427,0.8141582,0.6420287,0.3973774,0.6714902,0.7636121,0.8525519,0.3926304,0.4405866,0.7668593,0.6086834,0.2742297,0.268868,0.5871962,0.5107273,0.6512293,0.7208841,0.5473411,0.5893516,0.4528897,0.496366,0.7499662,0.7796775,0.7194425,0.5797205,0.245206,0.2013407,0.1896272,0.2123566,0.094955,0.2529014,0.4982876,0.5000278,0.0293157,0.034542,0.4944576,0.2612634,0.4434637,0.5784132,0.4247685,0.4651967,0.3746535,0.5933979,0.2377454,0.6714146,0.2279594,0.4122351,0.6714696,0.6451179,0.2659659,0.8121765,-1
0.5415543,1.4292649,0.6920233,0.516309,0.487955,0.5512786,1.038498,0.3827839,0.4535011,0.5549972,0.4484481,0.144447,0.3688263,0.6970701,0.3702533,0.5601222,0.7191199,0.5492883,0.455185,0.3009501,0.304042,0.5610821,0.7183965,0.7556184,0.4621603,0.2721832,0.3835725,0.2044171,0.8317547,0.3708469,0.4160949,0.3069695,0.1442115,0.3749961,0.0679016,0.3363145,0.2242146,0.409534,0.6306903,0.2834182,0.6478033,0.3628756,0.6672915,0.0968301,0.7515025,0.2085268,0.6319224,0.4167326,0.7202424,0.253341,0.6427016,-1
0.6733397,1.0517301,0.840773,0.5333797,0.5205065,0.7433899,0.9668123,0.3259939,0.5296901,0.5684846,0.5993924,0.2817008,0.2456357,0.627054,0.5622347,0.6564556,0.7486375,0.5991881,0.5445256,0.4545134,0.4477802,0.672707,0.5827234,0.5988184,0.367638,0.4856826,0.3108062,0.1324228,0.7980192,0.2174736,0.4686674,0.5832974,0.3471474,0.1829316,0.0489844,0.3184222,0.2198456,0.5342242,0.5923825,0.2627001,0.6023361,0.2654659,0.6862584,0.1537173,0.8081102,0.1805087,0.7439203,0.283144,0.8551899,0.1035904,0.9921497,-1
0.3518747,1.2309922,0.5758558,0.2206894,0.6374008,0.3844451,0.923105,0.3311737,0.6558309,0.7053598,0.386113,0.3830865,0.202042,0.6005431,0.687143,0.5234272,0.6181266,0.3983644,0.4333276,0.5303774,0.6183732,0.7601739,0.6750139,0.664317,0.3048149,0.3164797,0.2859215,0.2892466,0.1974532,0.0389186,0.3042947,0.2245139,0.2589283,0.1140064,0.0656932,0.3659348,0.2188152,0.4199353,0.6157175,0.3711774,0.4407413,0.3611214,0.6675666,0.2397615,0.8795223,0.1573395,0.5167359,0.4533653,0.7976336,0.1577189,0.7650029,-1
