Name,Zcr,Energy,SpecCentroSpread,SpecEntropy,SpecFlux,SpecRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,F0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12,LPC1,LPC2,LPC3,LPC4,LPC5,LPC6,LPC7,LPC8,LPC9,LPC10,LPC11,LPC12,LPC13,LPC14
yuma_angry.wav,0.5362219,0.3190095,0.4216918,0.5348185,0.4926199,0.6139675,0.7995092,0.4476861,0.3887499,0.666337,0.592991,0.626175,0.4679661,0.5050954,0.6677091,0.7911498,0.5504964,0.47821,0.3989728,0.4702112,0.5978996,0.7097126,0.6793351,0.697898,0.2816259,0.5245081,0.1549942,0.2174092,0.410458,0.1882066,0.2952901,0.3667048,0.2014905,0.350808,0.1505661,0.4173364,0.3144127,0.3112658,0.6160449,0.537539,0.3791639,0.4304824,0.4724402,0.393739,0.5199544,0.3039193,0.5346281,0.4159579,0.5037167,0.4541606,0.6708958
yuma_angry.wav,0.6718162,0.2020279,0.5188484,0.6175113,0.6651165,0.564423,0.8058901,0.5629019,0.5454709,0.3975442,0.3114062,0.8011579,0.4556219,0.5581449,0.3866441,0.6451223,0.8007635,0.6385845,0.3852646,0.2825836,0.2959163,0.5945825,0.7607396,0.9770876,0.4529814,0.1551912,0.1330083,0.1628491,0.0300736,0.4012598,0.3968067,0.0427337,0.0949491,0.0554122,0.0774526,0.4002457,0.1562298,0.3777701,0.5865202,0.4426814,0.470314,0.4065329,0.4871953,0.6287403,0.5777665,0.2043249,0.5815337,0.2607994,0.4556864,0.5510354,0.6976672
yuma_angry.wav,0.6931456,0.3486264,0.5870134,0.6321691,0.4981266,0.6877787,0.8397525,0.5377802,0.3914494,0.4302989,0.5982454,0.5106958,0.4219206,0.7415605,0.5465901,0.842292,0.7694172,0.6336446,0.5682652,0.4463704,0.3441973,0.5898003,0.5910579,0.7535848,0.3905682,0.2154809,0.3424498,0.2040659,0.211859,0.311141,0.5154461,0.3480048,0.1418486,0.1855661,0.2978156,0.2939282,0.1558145,0.3952824,0.6088477,0.2984627,0.6888577,0.4312921,0.5164163,0.2818816,0.6996015,0.1614395,0.7217521,0.5762101,0.247987,0.5120239,0.9009342
yuma_angry.wav,0.5849749,0.4319388,0.4214555,0.4694765,0.4779972,0.5067896,0.8153293,0.6398809,0.527502,0.3253397,0.5123164,0.7123506,0.55552,0.7553977,0.5352314,0.6324214,0.7438105,0.6954443,0.6471237,0.4984855,0.4744469,0.6154989,0.5708083,0.6949435,0.5224193,0.253026,0.1826604,0.283837,0.0938293,0.5290612,0.4222615,0.0409131,0.2156978,0.0828524,0.0703275,0.3192266,0.115747,0.413507,0.555202,0.4115452,0.4252517,0.7398889,0.4249114,0.5190567,0.5039611,0.1610659,0.5025782,0.714339,0.1549685,0.746456,0.6234297
yuma_angry.wav,0.7099045,0.373474,0.3304159,0.6874623,0.4739425,0.6746342,0.9094574,0.6668416,0.3569686,0.2719375,0.4296396,0.5792502,0.4614799,0.5512722,0.405245,0.7039943,0.6939187,0.6815163,0.6225692,0.5310001,0.4750268,0.6810507,0.7184353,0.8356229,0.5563896,0.2720627,0.2929032,0.4078858,0.0842604,0.5866667,0.5132891,0.2609997,0.2000417,0.1789316,0.0776037,0.1487908,0.3418257,0.2322809,0.7212374,0.3572132,0.5677811,0.4957526,0.4052074,0.5136913,0.4974529,0.2151278,0.5067349,0.56174,0.2697782,0.6456445,0.7400706
yuma_angry.wav,0.5849749,0.3479428,0.3773876,0.5175099,0.4805161,0.5816119,0.8760312,0.5906164,0.6554317,0.1847392,0.4197455,0.7432553,0.3063168,0.7459889,0.4649331,0.7139177,0.7661763,0.6441719,0.5723938,0.5549879,0.5271232,0.6394679,0.5556635,0.6241586,0.3931926,0.4019462,0.0784346,0.4099402,0.0736013,0.2835379,0.565162,0.1270479,0.1633637,0.1481313,0.0369719,0.1439854,0.2036535,0.2738732,0.7844217,0.120958,0.5879854,0.6638561,0.5021067,0.7366908,0.2927236,0.1867239,0.2686925,0.5749793,0.3262641,0.8837648,0.3921276
yuma_angry.wav,0.5118455,0.2674982,0.3942058,0.34743,0.6077728,0.4552229,0.7826066,0.6406207,0.715167,0.3788755,0.3983241,0.5779062,0.3999581,0.8002011,0.5571568,0.7164229,0.7182935,0.5501461,0.4769786,0.4477809,0.4593583,0.4900829,0.5952323,0.7128797,0.3819279,0.2401645,0.0681127,0.2699311,0.0911961,0.3002032,0.3914066,0.134119,0.0653346,0.2480716,0.0591457,0.3786056,0.0918644,0.4248697,0.5362775,0.4175918,0.4222141,0.7743443,0.301831,0.8372773,0.3064559,0.1647354,0.5307743,0.7616854,0.0868367,0.769575,0.4877434
yuma_angry.wav,0.5986867,0.3270983,0.4439532,0.5381524,0.4952185,0.5411674,0.7932804,0.6232401,0.4680738,0.4288632,0.4772478,0.6000751,0.444133,0.7942256,0.518496,0.6075154,0.7657845,0.6402748,0.6316124,0.4615531,0.4733545,0.5828235,0.6918065,0.7129611,0.5179814,0.2313925,0.2351585,0.2517745,0.1804704,0.5800681,0.4871258,0.1435505,0.132016,0.1540778,0.0521399,0.2724028,0.1708059,0.3864889,0.5796451,0.4380303,0.3955275,0.6257588,0.4962244,0.4867695,0.443298,0.227292,0.3353532,0.9071215,0.2643485,0.4767263,0.5635026
yuma_angry.wav,0.6017338,0.3391459,0.386156,0.443207,0.5051501,0.5512786,0.8461417,0.6495864,0.5751264,0.3056145,0.4066863,0.3998037,0.3788302,0.6571886,0.413233,0.717314,0.7252991,0.636666,0.4767843,0.4546909,0.4789673,0.6621759,0.7071354,0.7486804,0.389387,0.3869441,0.0526985,0.368868,0.0535415,0.2215902,0.5720679,0.0937433,0.1412687,0.1080034,0.0423982,0.1594506,0.1699113,0.3259539,0.6711537,0.3014224,0.5046084,0.7852617,0.2347217,0.6758633,0.3800866,0.2378358,0.546364,0.5704662,0.189214,0.7298849,0.5818255
yuma_angry.wav,0.6047808,0.3341278,0.3558869,0.4372117,0.2897902,0.573523,0.8703386,0.6981063,0.6257247,0.1499149,0.314936,0.5031678,0.2525614,0.6970289,0.463641,0.7874405,0.6989665,0.5572309,0.3614815,0.4559325,0.4897398,0.5355262,0.6445147,0.7382208,0.4216943,0.3141405,0.1007716,0.3546046,0.1006939,0.2642516,0.4039675,0.097487,0.1561838,0.1687972,0.0675228,0.3155341,0.1796158,0.3476695,0.6023643,0.405004,0.3541499,0.9346845,0.3209578,0.6995244,0.2942043,0.1619305,0.4893205,0.7280271,0.087674,0.8715229,0.6181393
yuma_angry.wav,0.5598367,0.1092517,0.4156491,0.473766,0.4117031,0.6068897,0.7774572,0.627612,0.5755123,0.2953509,0.5625145,0.7155457,0.3647396,0.3550085,0.4313958,0.423759,0.6806708,0.5646729,0.5169947,0.5711659,0.6980027,0.7351159,0.8213759,0.8093617,0.4012651,0.1806916,0.2608701,0.6360374,0.049706,0.180753,0.2734708,0.109514,0.1294168,0.0834807,0.5057499,0.3119914,0.2127888,0.32869,0.7456016,0.0291785,0.9360468,0.3756383,0.4795848,0.652841,0.3881716,0.1926802,0.4822157,0.4723686,0.5462716,0.4017125,0.6484922
yuma_angry.wav,0.6276338,0.285937,0.3596195,0.6096235,0.5766165,0.6159897,0.8168327,0.5332759,0.2979963,0.416969,0.5711077,0.7839086,0.3913772,0.6662683,0.5975745,0.6130948,0.8024173,0.5989408,0.4365379,0.3363519,0.4545138,0.6154333,0.5584417,0.6260667,0.4220749,0.2801658,0.6989317,0.1373103,0.0941203,0.3832952,0.4575526,0.1830516,0.2910078,0.1589516,0.1143007,0.3185316,0.1373755,0.1813643,0.8077107,0.303389,0.5577901,0.3922743,0.433441,0.5729846,0.5184906,0.1257829,0.7059032,0.6151295,0.4985202,0.3481486,0.7983
yuma_angry.wav,0.6123985,0.3022457,0.2893923,0.5457601,0.481148,0.5745341,0.8121675,0.6755614,0.3554889,0.422215,0.417659,0.6159109,0.4333107,0.7996808,0.5590937,0.6488717,0.7890686,0.6049195,0.5244783,0.3895408,0.3532253,0.4963769,0.5246823,0.6152065,0.4372235,0.1746991,0.3521518,0.21163,0.1315063,0.445634,0.4750432,0.2046927,0.1128795,0.1801909,0.0680551,0.328774,0.0853777,0.2587143,0.6222168,0.5761111,0.3644522,0.5334514,0.3553933,0.5498923,0.4281934,0.2462189,0.4930964,0.7196033,0.3141319,0.5098259,0.6907467
yuma_angry.wav,0.4615689,0.3001176,0.3467668,0.3102736,0.5439342,0.4703896,0.7756585,0.6276264,0.6407376,0.3588891,0.388555,0.550216,0.3917039,0.7369206,0.5113543,0.6474069,0.6598531,0.4850194,0.5128519,0.535029,0.6720706,0.821012,0.7560495,0.7351063,0.3742355,0.4074605,0.0713746,0.5017562,0.1013447,0.1247687,0.3250726,0.1481582,0.177511,0.127089,0.0562,0.3922877,0.1291981,0.4112451,0.5220648,0.5029521,0.2973045,0.8760647,0.3038978,0.6279447,0.4674555,0.2051441,0.2994319,0.7922308,0.2302809,0.6023293,0.6704502
yuma_angry.wav,0.4478572,0.3325546,0.3149038,0.3808185,0.4440936,0.4532007,0.8080918,0.6898847,0.676765,0.3671198,0.4423798,0.6196203,0.336446,0.6029723,0.4761551,0.6794501,0.7471406,0.5790221,0.6175135,0.5990034,0.5708106,0.6154343,0.6528249,0.7445461,0.3420819,0.1932486,0.1511588,0.4010106,0.1143208,0.4712961,0.5663045,0.125376,0.1037193,0.0648742,0.1281133,0.2292497,0.0736175,0.3877664,0.5442723,0.4580535,0.4196896,0.7011762,0.3856803,0.7192431,0.3067298,0.2208815,0.3423276,0.6987944,0.2601452,0.6764137,0.5688015
yuma_angry.wav,0.7076192,0.214262,0.3512629,0.6920889,0.6062498,0.6230675,0.8041331,0.6080695,0.3720562,0.2453075,0.3741696,0.7811283,0.468629,0.486524,0.4219344,0.6884615,0.713071,0.5113287,0.4381587,0.4432698,0.5340627,0.6694458,0.720927,0.8313921,0.6150228,0.2827029,0.1453476,0.3802218,0.1752265,0.4903542,0.2869909,0.0618896,0.2023111,0.3228447,0.0855333,0.3502745,0.2177972,0.2723519,0.6609039,0.480197,0.3557414,0.5757559,0.4881753,0.4218916,0.5708852,0.2300978,0.18268,0.8113375,0.347973,0.5610079,0.5265922
yuma_angry.wav,0.5354602,0.2850817,0.2573882,0.5033759,0.5243427,0.5320674,0.7591463,0.6689915,0.3623417,0.3528545,0.6064779,0.6651159,0.4356195,0.8334749,0.5014167,0.6046535,0.7605735,0.656595,0.6012298,0.4936056,0.5276106,0.6148283,0.537252,0.659805,0.5761831,0.1954224,0.3597358,0.3094474,0.0390018,0.352065,0.444561,0.1115921,0.2169956,0.1859077,0.0655578,0.2374093,0.1011223,0.3126621,0.5777129,0.5457141,0.4251625,0.6173395,0.2925692,0.5649761,0.3606251,0.2780503,0.3654202,0.8835177,0.1536863,0.6452105,0.6160687
yuma_angry.wav,0.6276338,0.4209402,0.3783486,0.4525882,0.4000397,0.5583563,0.870724,0.695584,0.6943062,0.1835558,0.2832834,0.5779361,0.2964716,0.8015136,0.4547568,0.8285274,0.805476,0.5765954,0.5036593,0.45584,0.4173262,0.4309368,0.4138887,0.6442224,0.4906629,0.2448039,0.128683,0.3463245,0.1123149,0.3450093,0.5537152,0.1030583,0.1023334,0.415116,0.0491724,0.2265627,0.1415478,0.3454305,0.6637492,0.2509557,0.6070618,0.4361914,0.7399065,0.4103359,0.5212629,0.1799687,0.2229418,0.775696,0.2023144,0.8405323,0.3574472
yuma_angry.wav,0.597925,0.3899159,0.4789185,0.5106741,0.4650717,0.5583563,0.8270308,0.5444737,0.3836748,0.4345877,0.4399987,0.6952071,0.5335093,0.7460937,0.742026,0.7143504,0.6924315,0.5514107,0.4931361,0.3948128,0.431401,0.608956,0.5799136,0.6331052,0.4567879,0.4454097,0.2477501,0.2208407,0.0789838,0.4313629,0.4297841,0.1518701,0.2458771,0.123631,0.1854395,0.3163885,0.2088241,0.3396406,0.6879861,0.2766996,0.5516822,0.4196825,0.6157493,0.4741438,0.4179856,0.2333863,0.460414,0.6493514,0.3906451,0.5895236,0.5471398
yuma_angry.wav,0.5194631,0.359289,0.2623456,0.383297,0.5612649,0.5249896,0.8140841,0.7964087,0.5697752,0.3317453,0.2552967,0.5673756,0.4617288,0.8248436,0.6546646,0.7260408,0.834244,0.6019773,0.477536,0.4621389,0.4330073,0.5334652,0.5012124,0.6478988,0.3389056,0.4370248,0.0992243,0.2536323,0.1479807,0.3256591,0.5722748,0.0405108,0.0547828,0.1587017,0.051834,0.2221248,0.071005,0.3122879,0.6008098,0.4882559,0.4579507,0.4042959,0.5908992,0.4811869,0.5037967,0.2225222,0.3125515,0.6634055,0.2981176,0.6338504,0.6949858
yuma_angry.wav,0.5773573,0.3904114,0.2334674,0.5763392,0.5613244,0.5775675,0.8373626,0.6267973,0.3970422,0.4171591,0.4669251,0.8024382,0.5497885,0.6842333,0.5997124,0.7403024,0.7861822,0.6110434,0.5376043,0.3868928,0.4489849,0.5659551,0.5548519,0.6147448,0.4069448,0.1512369,0.3999549,0.1803308,0.0777134,0.3559457,0.5332586,0.2422617,0.3062935,0.1061378,0.1568604,0.2379025,0.1020395,0.1661957,0.835255,0.2407853,0.5933552,0.3439882,0.5726735,0.4942793,0.4873503,0.2249561,0.2904013,0.7427133,0.4442606,0.4647342,0.5244081
yuma_angry.wav,0.5613602,0.3094317,0.3545026,0.4789867,0.6043365,0.5067896,0.8132714,0.6106741,0.48136,0.4447527,0.437729,0.6000977,0.6552282,0.6143508,0.6284633,0.5925268,0.6731979,0.6057675,0.6061594,0.5908887,0.6103072,0.6383983,0.7255738,0.7602801,0.4740429,0.2673939,0.3137573,0.4487201,0.1357405,0.3419762,0.4053587,0.2308394,0.13471,0.0672366,0.161407,0.2704679,0.144287,0.3181279,0.6847789,0.3768199,0.2534461,0.862606,0.3144075,0.5204834,0.6562884,0.2598609,0.0224263,0.8948942,0.3467018,0.3314334,0.7319024
yuma_angry.wav,0.5247955,0.2922221,0.5976417,0.4112006,0.3942681,0.492634,0.777569,0.6853734,0.608816,0.3720483,0.5439213,0.5298854,0.4885324,0.7518754,0.5670913,0.6941105,0.8120402,0.6077325,0.521283,0.4836241,0.4653573,0.5404116,0.5104832,0.6534893,0.3942715,0.3406141,0.2169372,0.2184427,0.2836673,0.2306663,0.5822057,0.0413465,0.1276738,0.1525728,0.1566832,0.1906681,0.0721625,0.6131038,0.351682,0.5182304,0.2874776,0.921079,0.3919212,0.5930277,0.4238248,0.2556449,0.2008953,0.9019211,0.1741637,0.5603393,0.5883084
yuma_angry.wav,0.5202249,0.2535034,0.3878606,0.3700188,0.594929,0.4511785,0.7835228,0.6176906,0.717541,0.4135859,0.3225459,0.8459605,0.3666446,0.7037113,0.7494653,0.7194731,0.8331277,0.5955866,0.4961174,0.5549814,0.5318991,0.6319348,0.517563,0.5856597,0.2929405,0.4146721,0.0745565,0.3150717,0.0832852,0.0728809,0.5553114,0.0913962,0.082889,0.0749348,0.0624459,0.2340138,0.178377,0.3119299,0.7174782,0.260766,0.397696,0.714299,0.4578992,0.7501519,0.3632994,0.1811934,0.2825351,0.818744,0.2019752,0.6846223,0.5148655
yuma_angry.wav,0.38006,0.2303737,0.3822076,0.3277655,0.4142254,0.3895006,0.7542854,0.601796,0.8335203,0.5077892,0.5105036,0.4774932,0.3673438,0.5354158,0.6523207,0.7767491,0.847915,0.6161544,0.5129317,0.4986294,0.4170491,0.4750865,0.5984076,0.7762899,0.2987188,0.0790873,0.0544073,0.2219874,0.1385034,0.2878113,0.5489242,0.1680886,0.0373615,0.1447749,0.0258843,0.3433074,0.049625,0.5088418,0.4689069,0.3771737,0.4955708,0.8168464,0.3152434,0.6992195,0.3950002,0.2398771,0.3091537,0.6068285,0.3396496,0.7184513,0.5191217
yuma_angry.wav,0.5430778,0.413215,0.4016348,0.3415461,0.4334019,0.5351008,0.866383,0.6397479,0.5973776,0.3267741,0.3851163,0.3833032,0.489744,0.8347521,0.6376735,0.8031991,0.6728019,0.6209547,0.4995587,0.4850471,0.4253311,0.5061207,0.4904638,0.5746812,0.4116205,0.4256229,0.2012937,0.3231197,0.1252623,0.2720476,0.5828286,0.1557731,0.1577212,0.1755798,0.0794563,0.2173885,0.0739054,0.3645258,0.6080798,0.3742087,0.430173,0.8370232,0.3083108,0.5429827,0.4534275,0.1991121,0.5855046,0.6913888,0.112613,0.6728753,0.6476395
yuma_angry.wav,0.5727867,0.3944526,0.4168643,0.5145879,0.6034666,0.5270119,0.7895309,0.5688512,0.4300841,0.2626576,0.5320183,0.7566153,0.6624946,0.7477016,0.677257,0.7042556,0.6668789,0.6616562,0.5575738,0.5154626,0.479677,0.5691162,0.5139767,0.5852333,0.5230731,0.159711,0.2284289,0.2947196,0.0937261,0.4842524,0.5019481,0.1911562,0.2462468,0.1686927,0.122337,0.2272254,0.1167008,0.3735984,0.5903517,0.3780611,0.5315528,0.6831168,0.4494462,0.329035,0.4912033,0.2656467,0.3227497,0.6968895,0.2993379,0.6560427,0.6196264
yuma_angry.wav,0.6817192,0.4421594,0.2825091,0.6751542,0.377486,0.7171009,0.9153247,0.6456391,0.2402765,0.2921277,0.411764,0.6751907,0.6154356,0.7966554,0.5492422,0.8054906,0.725847,0.5849152,0.5624795,0.5243991,0.5422509,0.596097,0.5204063,0.6074748,0.4924749,0.2551996,0.1971345,0.4585252,0.1761743,0.2318854,0.5922035,0.2190498,0.2861261,0.232657,0.1819038,0.1503189,0.1936888,0.1524902,0.7834521,0.4400396,0.3189908,0.6586558,0.3797225,0.3653935,0.5828225,0.2515874,0.4966958,0.6332112,0.2991592,0.4827854,0.6920807
yuma_angry.wav,0.0593568,0.0149047,0.2004239,0.0394066,0.6714833,0.1276226,0.4785504,0.5700977,0.7114186,0.9331706,0.9204673,0.652504,0.373357,0.7262309,0.7289136,0.7085901,0.7272362,0.6045294,0.6479545,0.5446901,0.57663,0.673869,0.6786515,0.7929203,0.0111488,0.0461563,0.0791559,0.0879916,0.104117,0.0661514,0.2254712,0.059875,0.0367789,0.0421094,0.0299087,0.6447254,0.0691165,0.5484993,0.2969062,0.7723818,0.2123891,0.7911492,0.2528965,0.5607735,0.4039545,0.3080542,0.1445166,0.9427907,0.34614,0.596313,0.5318278
yuma_boredom.wav,0.1317245,0.0162525,0.3067364,0.0698384,0.3555504,0.1781782,0.590732,0.5735432,0.6681725,0.8288396,0.7586974,0.5112313,0.4261317,0.8939141,0.9133588,0.7518296,0.7774024,0.6516232,0.7005181,0.4864289,0.5068126,0.6536501,0.7058038,0.7816402,0.0836357,0.2753602,0.0979242,0.0756764,0.1343283,0.0819132,0.125362,0.0852411,0.0241686,0.012268,0.0421785,0.7749278,0.0615971,0.5642559,0.2910006,0.7265202,0.3818396,0.6717167,0.0881997,0.7761572,0.4902235,0.1707118,0.5784659,0.862659,0.241087,0.5545734,0.7576525
yuma_boredom.wav,0.2429422,0.0555591,0.1484826,0.1967485,0.3352745,0.3409672,0.7029851,0.8582556,0.6391511,0.5846215,0.4889505,0.2947843,0.4072627,0.7598415,0.6724186,0.5763908,0.7734079,0.6995709,0.7072442,0.5090648,0.4997761,0.5588615,0.6642093,0.8349776,0.160869,0.1582963,0.0375215,0.1475625,0.2367922,0.2559771,0.10694,0.0831056,0.028797,0.0685034,0.0418104,0.7909321,0.0651753,0.4455816,0.3281131,0.8395071,0.3102507,0.6981366,0.0585497,0.7169116,0.4936665,0.2350767,0.3887942,0.9213558,0.1567925,0.5980109,0.5156586
yuma_boredom.wav,0.3008364,0.0343773,0.2383439,0.1596144,0.4961693,0.3692784,0.6496537,0.8105392,0.7797167,0.6846547,0.4095563,0.2434012,0.428459,0.5845172,0.6787211,0.7780259,0.8455635,0.7068431,0.7275049,0.510039,0.4397057,0.4985224,0.6410795,0.7874843,0.1950569,0.126702,0.0469747,0.1352767,0.0965663,0.1195642,0.2582877,0.1004573,0.0172641,0.0469693,0.0471187,0.7325025,0.0552219,0.5277985,0.267345,0.8102338,0.3916421,0.5935345,0.111426,0.7770117,0.505574,0.2242967,0.4227964,0.8352751,0.1491764,0.5634064,0.6756246
yuma_boredom.wav,0.182001,0.0328018,0.3092388,0.0700393,0.4693676,0.2449116,0.6391352,0.7704256,0.8416362,0.6929597,0.4218657,0.4324655,0.4144915,0.5863947,0.7673881,0.6785004,0.7572711,0.671462,0.6747878,0.4869896,0.5147188,0.550758,0.6879416,0.8114754,0.1075396,0.0980876,0.0379186,0.064257,0.0412321,0.0827976,0.1008185,0.0413907,0.044415,0.0447121,0.0302982,0.8642707,0.0531741,0.6465909,0.1649523,0.8133949,0.3908231,0.6366825,0.1555321,0.8121015,0.5299021,0.2139406,0.2666466,0.8572562,0.1391538,0.5811511,0.6913501
yuma_boredom.wav,0.3450188,0.0449665,0.3082523,0.2661346,0.3908723,0.366245,0.6366421,0.7274461,0.6985224,0.6995753,0.6788238,0.4972101,0.4636241,0.4485349,0.5477854,0.7047401,0.8676764,0.6451034,0.7118,0.5372126,0.4673783,0.5424546,0.6511209,0.7573698,0.2847953,0.0379789,0.0544623,0.0867428,0.124722,0.0661782,0.3198247,0.0811512,0.0399704,0.0100611,0.0226199,0.6859549,0.0502228,0.5729563,0.2793544,0.7010865,0.4549923,0.6323329,0.1125341,0.7740992,0.5016054,0.2150435,0.4844949,0.7116921,0.2788364,0.5664892,0.6866997
yuma_boredom.wav,0.4265277,0.0710852,0.3442875,0.2769118,0.4729916,0.4693785,0.7024175,0.8754002,0.6277152,0.4404165,0.3012392,0.3339565,0.533878,0.6321287,0.7506517,0.6475068,0.7411552,0.6674155,0.6905893,0.4730288,0.4795398,0.609167,0.7213306,0.7862085,0.3248331,0.3917092,0.0735902,0.1815061,0.0984703,0.1870201,0.1543955,0.0718479,0.0439673,0.0817608,0.0146435,0.7376294,0.1266005,0.5668128,0.2466954,0.8049141,0.3670583,0.6854278,0.0807057,0.7474504,0.4985054,0.2381736,0.3712183,0.7852763,0.1831892,0.6080462,0.6870042
yuma_boredom.wav,0.220851,0.0451064,0.1868035,0.1164742,0.5700115,0.302545,0.6543403,0.8663772,0.8167781,0.6618235,0.4994737,0.2860697,0.3101907,0.5090499,0.6178759,0.7122334,0.842,0.6495265,0.6964107,0.4657557,0.465466,0.6275657,0.6825367,0.7889711,0.1237836,0.0654473,0.0436187,0.052174,0.095167,0.0998977,0.1236858,0.0475747,0.0269834,0.0049115,0.0295616,0.7955608,0.0295999,0.6382841,0.1555057,0.8415632,0.338573,0.77824,0.1393554,0.6738017,0.5189742,0.2333781,0.2680827,0.9224934,0.204482,0.5786969,0.5997919
yuma_boredom.wav,0.3747277,0.1004564,0.2477892,0.3039009,0.3657691,0.4329784,0.7024563,0.758104,0.547039,0.5337135,0.436398,0.4198433,0.6234039,0.6220381,0.5306902,0.6458957,0.6917423,0.5759276,0.7308384,0.5012642,0.499911,0.6758829,0.7470165,0.827903,0.2561574,0.4610684,0.0959128,0.3268271,0.2039587,0.2133016,0.1302916,0.0773413,0.0474591,0.1020504,0.0646481,0.6329793,0.0603211,0.4057802,0.3989301,0.7903759,0.3395665,0.5598189,0.0769255,0.7951286,0.4705541,0.2389603,0.4330817,0.8084521,0.1805415,0.6057854,0.599591
yuma_boredom.wav,0.31531,0.0605134,0.1639059,0.2276709,0.3522695,0.4218562,0.6995829,0.9581725,0.6901226,0.459713,0.3480294,0.2663739,0.4806045,0.6940809,0.6986411,0.672386,0.7338034,0.6512054,0.6854348,0.4601614,0.4574202,0.6166822,0.7408584,0.8091793,0.1442395,0.3340235,0.0369614,0.1482557,0.0326215,0.1770093,0.0885658,0.0279761,0.0363903,0.1165154,0.018191,0.7084928,0.1117258,0.4777717,0.2775916,0.8444923,0.3999945,0.6772404,0.0528879,0.7042116,0.516534,0.2012922,0.4705032,0.8382365,0.1648966,0.5773467,0.6547138
yuma_boredom.wav,0.2467511,0.0565999,0.0599474,0.1453451,0.3931072,0.3359117,0.6610543,0.895739,0.8880837,0.6833657,0.42273,0.2824328,0.2705344,0.4633509,0.6259378,0.682755,0.8382502,0.7361113,0.751454,0.4854192,0.4526959,0.5217976,0.5987468,0.8093737,0.1056562,0.0671441,0.0321243,0.1147136,0.0389261,0.1374938,0.1557869,0.0273176,0.0080683,0.0044242,0.0093643,0.8365633,0.0331476,0.5222709,0.2882783,0.7645244,0.3290208,0.7703195,0.0998007,0.8202591,0.4691823,0.2032839,0.3620756,0.8568427,0.1541903,0.6036925,0.6444948
yuma_boredom.wav,0.1667657,0.0516533,0.1432884,0.0269453,0.4538367,0.2085115,0.6345944,0.766716,0.9293873,0.8162133,0.5083838,0.413597,0.2645487,0.5354514,0.7437928,0.5625869,0.7772497,0.671015,0.6631917,0.5541041,0.4693202,0.5324896,0.6785652,0.8449394,0.125774,0.0616421,0.0404683,0.1077904,0.0498573,0.0159127,0.1868959,0.0333083,0.0060035,0.0452255,0.0371819,0.8010686,0.0456701,0.5532303,0.2688564,0.769683,0.3132602,0.7344319,0.1169512,0.8575356,0.5235093,0.1896341,0.2948982,0.8122909,0.1456021,0.6990608,0.6778536
