Name,Zcr,Energy,EnergyEntropy,SpecCentro,SpecCentroSpread,SpecEntropy,SpecFlux,SpecRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,HarmonicRatio,F0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12
alex_angry.wav,55,12,3,88,116,43,497,7,-37,4,-0,0,-0,0,0,-0,-0,-1,-1,0,0,1,191,1,4,2,8,1,2,1,2,1,0,4,1,
alex_angry.wav,64,15,3,92,118,34,546,7,-36,4,0,0,-1,1,1,0,-0,-1,-1,0,0,1,230,1,6,1,6,4,2,0,2,0,0,3,1,
alex_angry.wav,54,12,2,96,147,38,456,7,-37,4,0,0,0,1,1,0,-0,-1,-0,0,0,0,155,1,3,1,7,2,4,1,3,0,0,4,0,
alex_angry.wav,75,13,3,117,151,42,438,8,-36,4,0,-0,-0,1,0,-0,-0,-1,-0,-0,-0,1,217,3,3,1,6,4,3,1,1,0,0,7,0,
alex_angry.wav,70,16,3,101,123,49,506,9,-35,4,-0,0,-0,1,1,0,-0,-1,-1,-0,-0,1,253,3,5,3,6,1,2,2,2,0,0,6,0,
alex_angry.wav,60,12,3,87,107,37,446,8,-36,4,-0,0,-0,1,1,0,-0,-0,-0,-0,-0,1,203,3,4,1,4,1,2,3,1,0,0,8,0,
alex_angry.wav,49,7,2,85,128,28,454,6,-38,5,0,1,0,1,1,0,-0,-0,-0,0,0,1,161,2,2,1,8,1,2,1,3,0,0,7,0,
alex_angry.wav,67,12,3,93,112,38,512,8,-36,4,0,-0,-0,1,1,0,-0,-1,-0,0,0,1,273,2,4,2,7,4,3,0,4,0,0,3,0,
alex_angry.wav,50,6,2,77,110,32,409,6,-38,5,0,0,0,1,1,0,-0,-0,-0,0,0,1,178,1,2,3,6,2,2,1,6,0,0,5,0,
alex_angry.wav,52,5,2,82,109,35,434,7,-38,5,0,0,0,1,1,0,-0,-0,-0,0,0,1,149,1,3,1,13,1,3,1,3,0,0,4,0,
alex_angry.wav,58,14,3,84,110,28,428,7,-36,4,0,0,-0,0,1,0,-0,-1,-1,-0,-0,1,202,3,6,2,4,1,2,1,1,0,0,6,0,
alex_angry.wav,62,7,2,99,126,39,473,8,-37,4,-0,0,0,1,0,0,-0,-0,-0,-0,-0,1,169,3,5,1,5,1,2,2,5,0,0,4,1,
alex_angry.wav,63,18,3,96,121,38,446,8,-36,4,0,0,-0,0,0,0,-0,-1,-1,-0,0,1,203,2,7,6,5,0,1,2,1,0,0,4,0,
alex_angry.wav,49,10,2,79,109,32,483,7,-37,4,0,0,-0,1,1,0,-0,-1,-1,-0,0,1,174,1,6,2,8,0,1,1,3,0,0,4,0,
alex_angry.wav,59,18,3,96,129,30,529,7,-35,4,0,0,-0,0,0,0,-0,-1,-1,-0,-0,1,213,2,6,3,4,2,1,1,5,0,0,4,0,
alex_angry.wav,58,11,3,83,107,31,484,7,-36,5,0,0,-0,1,1,0,-0,-0,-0,-0,-0,1,202,4,4,1,6,2,2,1,1,0,0,8,0,
alex_angry.wav,58,11,2,98,131,44,496,8,-37,4,-0,0,0,1,1,0,-0,-1,-0,0,0,1,191,1,3,1,7,5,2,0,3,1,0,6,0,
alex_angry.wav,57,10,2,84,103,39,436,8,-36,5,-0,0,-0,1,1,0,-0,-1,-1,-0,-0,1,209,2,6,1,5,2,2,1,4,0,0,5,0,
alex_angry.wav,59,14,3,89,121,31,424,7,-37,4,0,0,-0,1,1,0,-0,-1,-1,-0,0,1,223,0,5,2,6,2,1,0,3,0,0,4,0,
alex_angry.wav,65,13,3,104,136,44,506,9,-36,4,0,0,0,1,1,0,-0,-1,-0,-0,-0,1,202,3,4,1,6,2,2,2,2,0,0,6,1,
alex_angry.wav,55,12,2,88,129,22,537,6,-37,5,0,0,-0,0,1,0,-0,-1,-1,-0,0,1,183,1,6,3,6,0,1,1,1,0,0,4,0,
alex_angry.wav,43,7,2,73,105,26,462,5,-39,5,0,1,0,1,1,0,-0,-1,-0,0,0,1,182,1,4,1,7,2,2,1,2,0,0,7,0,
alex_angry.wav,66,14,3,113,138,48,466,10,-35,4,-0,0,0,0,0,0,-0,-1,-0,-0,0,1,212,2,4,3,6,2,2,2,3,0,0,4,1,
alex_angry.wav,53,9,2,84,116,38,469,7,-37,4,0,0,0,1,1,0,-0,-1,-1,0,0,1,202,1,2,2,9,1,1,1,4,0,0,5,0,
alex_angry.wav,54,14,2,94,140,41,415,7,-38,4,0,0,-0,1,1,0,-0,-1,-1,0,1,0,177,0,3,1,10,2,1,0,2,0,0,4,0,
alex_angry.wav,64,13,3,110,140,49,442,8,-36,4,-0,0,-0,0,0,-0,-0,-1,-0,0,0,1,230,1,3,2,7,1,3,2,4,1,0,4,1,
alex_angry.wav,58,11,2,94,124,21,459,7,-37,4,0,0,-0,0,0,0,-0,-0,-1,-0,0,1,211,2,6,1,7,1,2,1,4,1,0,5,0,
alex_angry.wav,59,9,3,91,119,33,441,8,-36,5,0,0,-0,0,1,0,-0,-0,-0,-0,-0,1,179,4,4,1,7,1,1,2,4,0,0,5,0,
alex_angry.wav,69,16,3,109,141,44,494,8,-36,4,-0,0,-0,1,1,0,-0,-1,-1,-0,0,1,256,1,5,4,7,1,2,1,2,0,0,4,0,
alex_angry.wav,64,10,3,101,130,46,434,8,-36,4,-0,0,-0,1,1,0,-0,-1,-1,-0,-0,1,232,3,5,3,7,1,2,1,3,1,0,5,0,
alex_boredom.wav,30,2,2,60,104,5,183,4,-39,5,1,1,1,1,1,0,-0,-0,-0,0,0,1,124,0,7,0,13,1,0,0,1,0,0,5,0,
alex_boredom.wav,34,2,2,60,92,10,237,5,-39,5,1,1,0,0,1,0,-0,-0,-0,0,0,1,130,2,8,0,11,2,0,0,3,0,0,6,0,
alex_boredom.wav,32,1,2,60,105,5,408,4,-40,5,1,1,0,0,0,0,-0,-0,-0,0,0,0,110,1,4,0,8,1,1,0,2,0,0,11,0,
alex_boredom.wav,28,1,2,57,104,3,317,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,115,1,2,0,10,0,2,0,2,0,0,10,0,
alex_boredom.wav,38,1,2,67,115,11,239,5,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,134,1,4,2,9,1,2,0,1,0,0,9,0,
alex_boredom.wav,34,1,2,60,102,11,309,5,-40,5,1,1,0,1,1,0,0,-0,-0,0,0,0,112,2,2,1,8,0,2,0,2,0,0,12,0,
alex_boredom.wav,33,2,2,62,107,11,272,4,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,114,0,1,1,12,0,3,0,1,0,0,10,0,
alex_boredom.wav,35,1,2,61,102,17,367,5,-39,5,1,1,0,0,1,0,-0,-0,-0,0,0,0,122,1,3,1,10,0,2,0,2,0,0,11,0,
alex_boredom.wav,39,1,2,64,101,21,280,5,-39,5,1,1,0,1,1,0,-0,-1,-0,0,0,0,125,1,1,1,8,0,3,0,1,0,0,12,0,
alex_boredom.wav,32,1,2,58,102,7,258,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,117,0,1,1,11,1,2,0,1,0,0,9,0,
alex_boredom.wav,35,1,2,57,90,11,256,5,-39,5,1,1,0,0,1,0,-0,-0,-0,0,0,0,133,1,2,1,8,1,4,0,1,0,0,12,0,
alex_boredom.wav,29,1,2,59,109,4,287,4,-40,5,1,1,1,1,1,0,-0,-0,-0,0,0,0,112,0,1,1,11,0,2,0,1,0,0,9,0,
alex_boredom.wav,28,1,2,56,102,2,187,4,-40,5,1,1,0,1,1,0,0,-0,-0,0,0,0,115,0,1,1,11,0,3,0,1,0,0,10,0,
alex_boredom.wav,37,1,2,68,117,11,274,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,126,0,1,2,10,1,3,0,0,0,0,10,0,
alex_boredom.wav,28,1,2,55,103,3,258,4,-40,5,1,1,0,1,1,0,0,-0,-0,0,0,0,113,0,2,0,12,1,1,0,0,0,0,10,0,
alex_boredom.wav,34,1,2,62,100,8,273,5,-39,5,1,0,0,1,1,0,-0,-0,-0,0,0,0,118,0,1,2,9,1,3,0,1,0,0,11,0,
alex_boredom.wav,31,1,2,58,100,8,256,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,112,0,1,1,12,1,3,0,0,0,0,10,0,
alex_boredom.wav,38,2,2,60,95,5,219,5,-39,5,1,1,0,0,0,0,-0,-0,-0,0,0,1,131,0,7,1,9,1,2,0,1,0,0,7,0,
alex_boredom.wav,31,1,2,56,96,6,306,4,-40,5,1,1,0,1,1,0,-0,-1,-0,0,0,0,111,0,1,1,7,0,3,0,3,0,0,11,0,
alex_boredom.wav,29,1,2,56,104,4,333,3,-40,5,1,1,1,1,1,0,-0,-0,-0,0,0,1,119,1,3,1,12,1,1,0,2,0,0,8,0,
alex_boredom.wav,40,1,2,65,102,24,260,6,-39,5,1,0,0,1,1,0,-0,-1,-0,0,0,0,160,0,1,1,9,2,2,0,1,0,0,10,0,
alex_boredom.wav,34,1,2,62,103,10,221,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,115,0,1,1,9,1,3,0,1,0,0,11,0,
alex_boredom.wav,40,2,2,63,100,15,261,5,-39,5,1,1,0,1,1,0,-0,-1,-0,0,0,1,157,0,5,0,11,1,1,0,1,0,0,8,0,
alex_boredom.wav,37,1,2,62,98,15,241,5,-39,5,1,1,0,1,1,0,-0,-1,-0,0,0,0,134,0,3,1,6,2,3,0,1,0,0,11,0,
alex_boredom.wav,38,1,2,62,95,16,225,6,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,118,0,2,2,9,2,3,0,1,0,0,10,0,
alex_boredom.wav,35,1,2,62,108,14,308,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,116,0,1,2,8,1,2,0,1,0,0,10,0,
alex_boredom.wav,34,1,2,65,111,10,308,5,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,131,0,3,1,13,1,1,0,1,0,0,7,0,
alex_boredom.wav,34,1,2,60,100,14,292,5,-40,5,1,1,0,1,1,0,-0,-1,-0,0,0,0,134,1,2,1,12,2,2,0,2,0,0,8,0,
alex_boredom.wav,34,1,2,57,92,7,279,5,-39,6,1,1,0,0,0,0,-0,-0,-0,0,0,0,108,0,0,2,7,0,7,0,1,0,0,11,0,
alex_boredom.wav,34,1,2,62,109,10,288,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,147,0,3,0,10,1,1,0,2,0,0,9,0,
alex_boredom.wav,35,1,2,62,106,16,285,5,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,125,1,3,1,11,1,1,0,2,0,0,8,0,
alex_boredom.wav,32,1,2,62,102,11,301,4,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,118,1,2,1,9,0,2,0,1,0,0,11,0,
alex_boredom.wav,31,1,2,66,116,10,281,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,107,0,2,1,10,1,2,0,1,0,0,9,0,
alex_boredom.wav,31,1,2,62,110,8,263,4,-40,5,1,1,0,1,1,1,-0,-0,-0,0,0,0,110,1,2,1,10,1,1,0,3,0,0,9,0,
alex_boredom.wav,31,1,2,57,95,10,227,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,108,0,2,1,8,2,3,0,1,0,0,12,0,
alex_boredom.wav,30,1,2,59,107,9,249,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,115,0,2,1,13,2,1,0,1,0,0,8,0,
alex_boredom.wav,31,1,2,64,108,8,308,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,114,0,2,1,10,1,2,0,1,0,0,10,0,
alex_boredom.wav,34,1,2,59,96,14,254,5,-39,5,1,0,0,1,1,0,-0,-0,-0,0,0,1,120,0,2,2,6,1,3,0,1,0,0,12,0,
alex_boredom.wav,32,1,2,60,104,5,247,4,-40,5,1,1,0,1,1,0,-0,-1,-0,0,0,0,115,0,2,1,8,1,2,0,1,0,0,11,0,
alex_boredom.wav,33,1,2,72,122,11,259,5,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,124,0,2,1,11,1,2,0,1,0,0,10,0,
alex_boredom.wav,29,1,2,60,111,5,332,4,-40,5,1,1,1,1,1,0,-0,-0,-0,0,0,0,110,0,1,1,11,1,2,0,0,0,0,9,0,
alex_boredom.wav,33,1,2,63,105,14,241,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,106,1,2,1,8,0,3,0,1,0,0,11,0,
alex_boredom.wav,25,1,2,53,100,4,345,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,101,0,1,1,12,0,2,0,1,0,0,8,0,
alex_boredom.wav,31,1,2,56,100,9,289,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,107,1,2,0,10,0,1,0,1,0,0,9,0,
alex_boredom.wav,28,1,2,55,102,6,286,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,118,1,1,1,16,1,1,0,1,0,0,7,0,
