@relation BLArousalResponse
@attribute volume real
@attribute speed real
@attribute armopen real
@attribute headfb real
@attribute headud real
@attribute trunkangle real
@attribute freq real
@attribute deltay real
@attribute deltaz real
@attribute arousal {-2,-1,0,1,2}

@data
0.682935,2.06232,0.514137,-0.0735544,0.258115,-1.45979,0,-0.126309,-0.192709,2
0.600227,2.0405,0.472965,-0.0578436,0.262504,-1.43922,0,-0.037861,0.0370378,2
0.581104,1.61444,0.494755,-0.0623491,0.257907,-1.45404,0,-0.0763324,-0.0120659,2
0.462783,1.25149,0.46847,-0.0559485,0.270503,-1.45718,0,-0.476368,0.200491,2
0.524559,1.35348,0.47243,-0.0601004,0.264386,-1.47667,0,0.0858875,0.0844859,2
0.48589,0.957941,0.454329,-0.05416,0.268919,-1.509,0,0.20342,-0.0691699,2
0.562643,1.1116,0.504477,-0.0616149,0.261954,-1.48256,0,-0.107737,-0.133348,2
0.600963,1.81016,0.512136,-0.0500123,0.266234,-1.39612,0,-0.331914,0.411282,2
0.626241,1.42778,0.506418,-0.0572922,0.265508,-1.45918,0,-0.032748,0.0384513,2
0.506372,1.45169,0.472426,-0.0511814,0.264637,-1.47541,0,0.373867,-0.359459,2
0.710163,1.53242,0.518915,-0.0482399,0.267512,-1.48163,0,1.02655,-0.0850709,2
0.643333,1.51427,0.50592,-0.0535481,0.275686,-1.4925,0,-0.185212,-0.245803,2
0.589754,1.42909,0.494232,-0.0630615,0.262418,-1.45412,0,0.287833,-0.159098,2
0.614316,1.434,0.494146,-0.0519953,0.269518,-1.4787,0,-0.0976839,-0.0375794,2
0.633343,1.57643,0.502578,-0.0572835,0.266647,-1.43807,0,0.0294895,0.0294505,2
0.664604,1.43326,0.52012,-0.0480348,0.269635,-1.47778,0,-0.166142,-0.406355,2
0.708007,1.5682,0.560019,-0.0476742,0.275328,-1.39627,0,0.865936,-0.900793,2
0.557559,1.65524,0.527898,-0.0458875,0.27249,-1.44151,0,-0.123166,-0.223504,2
0.631052,1.69281,0.476694,-0.0497571,0.267378,-1.44931,0,0.13547,0.530355,2
0.656321,1.80885,0.545782,-0.059188,0.265426,-1.43375,0,-0.449852,0.502267,2
0.682935,2.06232,0.514137,-0.0735544,0.258115,-1.45979,0,-0.126309,-0.192709,2
0.600227,2.0405,0.472965,-0.0578436,0.262504,-1.43922,0,-0.037861,0.0370378,2
0.581104,1.61444,0.494755,-0.0623491,0.257907,-1.45404,0,-0.0763324,-0.0120659,2
0.462783,1.25149,0.46847,-0.0559485,0.270503,-1.45718,0,-0.476368,0.200491,2
0.524559,1.35348,0.47243,-0.0601004,0.264386,-1.47667,0,0.0858875,0.0844859,2
0.48589,0.957941,0.454329,-0.05416,0.268919,-1.509,0,0.20342,-0.0691699,2
0.562643,1.1116,0.504477,-0.0616149,0.261954,-1.48256,0,-0.107737,-0.133348,2
0.600963,1.81016,0.512136,-0.0500123,0.266234,-1.39612,0,-0.331914,0.411282,2
0.626241,1.42778,0.506418,-0.0572922,0.265508,-1.45918,0,-0.032748,0.0384513,2
0.506372,1.45169,0.472426,-0.0511814,0.264637,-1.47541,0,0.373867,-0.359459,2
0.710163,1.53242,0.518915,-0.0482399,0.267512,-1.48163,0,1.02655,-0.0850709,2
0.643333,1.51427,0.50592,-0.0535481,0.275686,-1.4925,0,-0.185212,-0.245803,2
0.589754,1.42909,0.494232,-0.0630615,0.262418,-1.45412,0,0.287833,-0.159098,2
0.614316,1.434,0.494146,-0.0519953,0.269518,-1.4787,0,-0.0976839,-0.0375794,2
0.633343,1.57643,0.502578,-0.0572835,0.266647,-1.43807,0,0.0294895,0.0294505,2
0.664604,1.43326,0.52012,-0.0480348,0.269635,-1.47778,0,-0.166142,-0.406355,2
0.708007,1.5682,0.560019,-0.0476742,0.275328,-1.39627,0,0.865936,-0.900793,2
0.557559,1.65524,0.527898,-0.0458875,0.27249,-1.44151,0,-0.123166,-0.223504,2
0.631052,1.69281,0.476694,-0.0497571,0.267378,-1.44931,0,0.13547,0.530355,2
0.656321,1.80885,0.545782,-0.059188,0.265426,-1.43375,0,-0.449852,0.502267,2
0.485309,0.864928,0.491196,-0.0860319,0.24827,-1.4614,0,-0.0952525,0.11695,2
0.533846,2.88764,0.488806,-0.124067,0.166972,-1.19474,0,-1.98023,-5.34556,2
0.595222,6.79842,0.491735,-0.0376447,0.232966,-0.0483953,0,1.21166,7.03456,2
0.494087,3.88666,0.470469,-0.1344,0.115972,-0.33825,0,-2.93465,-8.10907,2
0.486298,3.28014,0.458347,-0.128983,0.146272,-0.876304,0,1.84163,7.3196,2
0.88946,2.61368,0.563137,-0.0985368,0.194426,-1.32156,0,-0.54532,0.111866,2
0.786078,2.62049,0.544872,-0.0986263,0.209617,-1.44457,0,0.22704,-0.085479,2
0.759269,2.66745,0.542492,-0.100431,0.205607,-1.35692,0,0.248202,-0.603,2
0.876886,2.04663,0.553519,-0.100072,0.203117,-1.34796,0,-0.799093,0.248663,2
0.853494,2.19964,0.539244,-0.108933,0.202397,-1.34265,0,-0.426717,0.24716,2
0.969935,1.49666,0.522736,-0.106513,0.186604,-1.16734,0,-0.287382,0.306828,2
0.873596,1.92079,0.520521,-0.0943057,0.206388,-1.35976,0,-0.0692465,0.402712,2
0.891456,1.74155,0.498203,-0.104307,0.189931,-1.23417,0,0.270096,0.574351,2
0.960257,1.91432,0.532566,-0.102414,0.20465,-1.36899,0,0.313986,0.366786,2
0.995881,1.82744,0.561475,-0.113586,0.183194,-1.21318,0,-1.33371,-0.226413,2
0.789216,2.3205,0.505982,-0.104494,0.189907,-1.20779,0,-0.824805,-0.736541,2
0.754618,2.34182,0.509806,-0.108379,0.194445,-1.27182,0,-0.325916,0.4985,2
0.87953,2.19501,0.512631,-0.0994579,0.201887,-1.28169,0,0.445202,-0.00941474,2
0.869664,1.99592,0.51802,-0.09507,0.20095,-1.30894,0,-0.0228372,-0.543088,2
0.861205,1.99766,0.511641,-0.103613,0.196546,-1.31179,0,-0.609303,-0.29647,2
0.773295,2.23377,0.508243,-0.103653,0.189912,-1.10599,0,0.500142,-0.519792,2
0.872534,1.76713,0.498977,-0.0971938,0.179279,-1.21413,0,-0.508632,-0.477969,2
0.965083,1.89148,0.529039,-0.106099,0.184185,-1.23383,0,-0.177625,0.265416,2
0.846778,1.79135,0.513521,-0.0956663,0.201975,-1.27362,0,-0.426492,-1.82471,2
0.878708,2.03762,0.500731,-0.100081,0.195422,-1.32053,0,-0.448246,-0.895558,2
0.867618,2.25129,0.518228,-0.0983129,0.198974,-1.3312,0,0.740844,-0.360455,2
0.765966,1.78845,0.536095,-0.0985703,0.195141,-1.31255,0,0.183681,-0.0723164,2
0.923498,2.4503,0.506528,-0.108079,0.187733,-1.25733,0,-0.285179,-0.0873473,2
0.8369,2.26136,0.535504,-0.0951106,0.185046,-1.00404,0,-0.436506,-0.759114,2
0.968298,4.15259,0.525778,-0.127342,0.160716,-1.20956,0,-0.815666,0.405959,2
0.691928,1.21292,0.509908,-0.0741982,0.22694,-0.938043,0,-0.231193,-0.250758,0
