@relation arousal
            
@attribute Angry numeric
@attribute ConcentrationLevel numeric
@attribute Embarrassment numeric
@attribute Excitement numeric
@attribute Hesitation numeric
@attribute ImaginationActivity numeric
@attribute IntensiveThinking numeric
@attribute Content numeric
@attribute SAF numeric
@attribute Upset numeric
@attribute ExtremeState numeric
@attribute Stress numeric
@attribute Uncertainty numeric
@attribute Energy numeric
@attribute BrainPower numeric
@attribute EmoCogRatio numeric
@attribute MaxAmpVol numeric
@attribute VoiceEnergy numeric
@attribute arousal {-2,-1,0,1,2}

@data

0,0,7,15,19,0,0,0,0,0,30,0,15,50,1601,411,32767,92,2
30,0,0,30,17,3,4,30,1,0,30,2,3,50,1725,344,32767,532,2
30,0,30,28,15,0,0,30,0,0,30,0,1,50,1647,393,32767,20,2
28,0,14,23,12,2,5,30,0,0,30,0,1,50,1634,332,32767,476,2
28,0,7,22,17,3,10,30,0,0,30,0,1,50,1693,299,32767,215,2
28,0,7,23,15,0,0,30,0,0,30,0,1,50,1723,411,32767,31,2
0,0,14,20,12,0,2,0,3,0,15,0,1,0,1572,352,32767,502,2
26,0,14,19,15,0,0,0,0,0,30,0,0,50,1609,407,32767,399,2
28,0,28,23,13,5,10,30,1,0,30,1,1,50,1830,321,32767,589,2
26,0,14,20,15,3,2,30,0,0,30,0,2,50,1669,367,32767,466,2
28,0,7,23,12,2,7,30,0,0,30,2,2,50,1725,319,32767,579,2
26,4,0,19,15,0,0,30,8,0,30,0,1,50,1651,424,32767,353,2
0,1,0,20,10,0,0,0,0,0,12,0,0,0,1536,426,32767,635,2
27,0,0,20,15,0,0,30,3,0,30,0,0,50,1667,485,32767,108,2
30,6,0,28,12,0,2,30,4,0,30,0,1,50,1600,354,32767,97,2
0,0,0,23,12,1,6,0,0,0,13,1,1,0,1718,341,32767,394,2
28,0,21,23,15,3,12,30,0,0,30,1,1,50,1717,288,32767,277,2
27,0,14,20,15,2,9,0,0,0,30,0,0,50,1596,288,32767,51,2
24,0,14,15,10,2,3,26,1,0,30,0,1,50,1392,295,32767,20,2
27,0,21,22,13,5,10,0,0,0,30,1,2,50,1761,303,32767,594,2
24,8,0,19,17,0,4,30,3,0,30,3,5,50,1645,324,32767,41,2
28,0,14,23,15,0,1,30,0,0,30,0,1,50,1680,385,32767,154,2
27,0,7,21,15,2,8,30,2,0,30,0,1,50,1743,322,32767,31,2
27,0,0,21,19,0,3,30,2,0,30,0,1,50,1769,379,32767,61,2
28,0,14,23,15,4,5,30,0,0,30,0,1,50,1743,354,32767,123,2
26,5,0,21,13,1,10,30,0,0,30,2,3,50,1806,306,32767,97,-2
